"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Weak.foot"
"G. Burgstaller",29,77,77,3,"Attacker",9e+06,40000,3,369,308,345,399,326,5
"A. Schürrle",27,77,77,NA,"Attacker",9500000,50000,3,371,366,377,371,337,4
"Carlos Eduardo",28,77,77,1,"Attacker",9e+06,40000,3,380,376,343,369,363,4
"Johnathan",28,77,77,0,"Attacker",9e+06,20000,4,357,332,369,397,289,5
"C. Wood",26,77,78,2,"Attacker",10500000,60000,2,341,321,344,383,338,3
"G. Bou",28,77,77,2,"Attacker",9e+06,10000,4,361,352,379,384,311,4
"A. Mehmedi",27,77,77,3,"Attacker",9500000,50000,3,361,355,376,358,333,3
"M. Suárez",30,77,77,2,"Attacker",8500000,30000,4,358,372,379,354,295,4
"A. Barnes",28,77,77,2,"Attacker",9e+06,60000,3,368,326,341,388,354,4
"M. Ritchie B",28,77,77,2,"Attacker",9e+06,50000,4,341,367,378,363,355,4
"O. Ighalo",29,77,77,2,"Attacker",9e+06,20000,4,327,320,391,375,315,3
"Alan Kardec",29,77,77,1,"Attacker",9e+06,15000,3,362,326,352,390,292,3
"R. Alessandrini",29,77,77,0,"Attacker",8500000,10000,4,346,376,412,354,330,4
"M. Carcela-González",29,77,77,1,"Attacker",8500000,20000,4,319,386,414,364,294,3
"M. Dossevi",30,77,77,1,"Attacker",8500000,30000,3,338,367,384,344,296,3
"S. Terodde",30,77,77,2,"Attacker",8500000,20000,3,353,260,313,370,307,4
"K. Mitroglou",30,77,77,NA,"Attacker",8500000,60000,3,357,337,270,378,293,3
"G. Sio",29,77,77,NA,"Attacker",0,0,3,362,361,386,373,316,3
"M. Albrighton",28,77,77,3,"Attacker",9e+06,60000,3,338,388,375,346,336,3
"L. Rémy",31,77,77,1,"Attacker",8e+06,40000,4,354,325,363,371,334,3
"F. Johnson",30,77,77,1,"Attacker",8500000,30000,3,348,353,377,332,336,4
"A. Ayew",28,77,77,NA,"Attacker",9e+06,60000,4,359,355,392,391,350,3
"C. Ansaldi",31,77,77,NA,"Attacker",8e+06,40000,4,336,357,377,350,347,5
"G. Murray",34,77,77,1,"Attacker",4700000,50000,2,359,284,270,358,362,3
"E. Elia",31,77,77,1,"Attacker",8e+06,30000,5,325,347,425,355,296,3
"Fábio Coentrão",30,77,77,0,"Attacker",8500000,10000,4,349,364,380,363,361,2
"G. Pellè",32,77,77,1,"Attacker",7e+06,20000,3,364,293,245,393,346,4
"V. Ibišević",33,77,77,1,"Attacker",5500000,30000,3,385,324,287,346,349,3
"J. Farfán",33,77,77,1,"Attacker",5500000,2000,4,363,382,386,373,344,3
"R. Palacio",36,77,77,1,"Attacker",3200000,30000,4,372,367,392,332,353,3
"D. Cvitanich",34,77,77,2,"Attacker",4700000,20000,3,366,351,355,363,335,3
"J. Sand",37,77,77,1,"Attacker",2600000,15000,3,366,318,278,364,346,4
"K. Huntelaar",34,77,77,1,"Attacker",4700000,20000,2,372,316,303,358,318,4
"Jô",31,77,77,2,"Attacker",8e+06,10000,3,363,333,324,372,305,3
"Sergio García",35,77,77,0,"Attacker",4100000,20000,4,371,376,356,324,328,2
"E. Adebayor",34,77,77,1,"Attacker",4700000,30000,3,370,307,322,356,329,3
"Júnior Moraes",31,76,76,1,"Attacker",7e+06,2000,3,321,268,370,350,301,4
"N. Blandi",28,76,76,1,"Attacker",8e+06,20000,3,360,312,336,374,294,3
"Luiz Phellype",24,76,78,5,"Attacker",9500000,15000,3,353,315,289,388,328,3
"M. Stoch",28,76,76,3,"Attacker",8e+06,1000,3,321,384,414,349,306,5
"A. Masuaku B",24,76,79,5,"Attacker",8e+06,50000,4,327,351,406,362,322,2
"S. Doumbia",30,76,76,2,"Attacker",7500000,30000,3,340,346,387,349,313,4
"Caiuby",29,76,76,NA,"Attacker",7500000,15000,3,355,326,378,415,330,4
"V. Germain",28,76,76,2,"Attacker",8e+06,50000,3,366,355,392,370,340,4
"E. Choupo-Moting",29,76,76,1,"Attacker",7500000,70000,4,357,342,370,360,307,4
"J. Izquierdo",25,76,76,2,"Attacker",8500000,40000,4,325,331,424,353,270,3
"D. Ings",25,76,77,NA,"Attacker",9500000,50000,3,348,307,380,358,325,3
"Borja Mayoral",21,76,83,NA,"Attacker",1.1e+07,20000,3,350,307,357,364,268,4
"M. Livaja",24,76,79,2,"Attacker",1e+07,2000,3,336,300,344,364,320,5
"Héldon",29,76,76,3,"Attacker",7500000,20000,4,338,362,405,332,295,3
"F. Bartels",31,76,76,1,"Attacker",7e+06,30000,4,324,360,394,323,313,3
"Júnior Moraes",31,76,76,1,"Attacker",7e+06,2000,3,321,268,370,350,301,4
"D. Calvert-Lewin",21,76,82,4,"Attacker",10500000,60000,3,345,284,376,371,310,3
"V. Berisha",25,76,77,4,"Attacker",9e+06,40000,4,312,364,388,388,354,4
"M. Niang",23,76,81,NA,"Attacker",10500000,30000,3,343,356,390,361,304,4
"G. Moreno",32,76,76,0,"Attacker",6e+06,15000,4,366,345,369,382,346,3
"A. Carroll",29,76,76,0,"Attacker",7500000,70000,2,368,293,273,384,349,3
"Portillo",28,76,76,2,"Attacker",8e+06,20000,3,353,366,370,336,322,3
"F. Di Francesco",24,76,79,2,"Attacker",1e+07,40000,4,326,379,393,329,287,4
"T. Gutiérrez",33,76,76,1,"Attacker",4800000,6000,4,362,357,333,365,329,3
"G. Töre",26,76,76,0,"Attacker",8500000,40000,3,336,377,390,343,325,4
"A. Prijović",28,76,76,4,"Attacker",8e+06,40000,3,330,295,322,376,301,3
"Matheus Pereira",22,76,82,NA,"Attacker",10500000,20000,4,332,368,402,339,313,3
"Y. Salibur",27,76,76,NA,"Attacker",8e+06,30000,4,340,367,404,368,304,4
"N. Redmond",24,76,79,4,"Attacker",1e+07,40000,4,301,356,412,313,274,3
"J. Rodriguez",28,76,76,2,"Attacker",8e+06,40000,3,361,319,362,376,308,4
"Soldado",33,76,76,0,"Attacker",4800000,60000,3,378,346,319,351,345,4
"B. Ndiaye",27,76,76,NA,"Attacker",8e+06,50000,3,334,367,404,391,363,3
"J. Locadia",24,76,79,3,"Attacker",1e+07,40000,3,347,354,352,364,319,4
"K. Dolberg",20,76,83,3,"Attacker",1.1e+07,15000,3,332,342,362,380,271,4
"Llorente",33,76,76,0,"Attacker",4800000,80000,3,367,293,204,318,320,3
"João Pedro",26,76,77,3,"Attacker",9e+06,30000,4,354,348,361,362,344,4
"C. Domínguez",23,76,79,4,"Attacker",1e+07,20000,3,334,362,377,351,318,3
"C. Austin",28,76,76,1,"Attacker",8e+06,50000,2,349,287,308,368,338,2
"F. Borini",27,76,76,2,"Attacker",8e+06,80000,4,371,352,374,364,330,3
"J. Boëtius",24,76,79,3,"Attacker",1e+07,20000,4,342,364,409,350,278,4
"A. Gray",27,76,76,3,"Attacker",8e+06,50000,3,337,299,398,364,321,3
"J. Aquino",28,76,76,2,"Attacker",8e+06,50000,4,310,359,425,324,310,4
"H. Pérez",29,76,76,1,"Attacker",7500000,30000,4,342,343,367,376,325,4
"I. Slimani",30,76,76,NA,"Attacker",7500000,60000,2,364,322,299,385,362,3
"C. Erkin",29,76,76,1,"Attacker",6e+06,40000,4,359,401,382,392,383,2
"D. Gayle",27,76,76,NA,"Attacker",8e+06,40000,3,340,323,406,351,284,4
"Dênildo Stein",30,76,76,2,"Attacker",7500000,30000,3,355,331,348,334,292,3
"F. Klaus",25,76,77,3,"Attacker",9e+06,40000,3,326,349,394,360,304,3
"R. Steffen",26,76,76,2,"Attacker",8500000,40000,3,358,371,421,362,301,3
"L. Acosta",30,76,76,3,"Attacker",7500000,20000,4,345,335,440,349,340,4
"Y. Mutō",25,76,77,3,"Attacker",9500000,50000,3,367,327,385,352,299,4
"J. Altidore",28,76,76,3,"Attacker",8e+06,10000,3,335,332,329,373,332,4
"J. Defoe",35,76,76,NA,"Attacker",3500000,40000,3,349,323,377,336,302,4
"B. Wright-Phillips",33,76,76,0,"Attacker",4800000,10000,3,358,308,376,358,325,4
"N. Mazraoui",20,76,84,3,"Attacker",9500000,10000,3,324,328,377,328,326,3
"S. Blanco",30,76,76,0,"Attacker",7500000,10000,3,359,356,394,370,323,5
"Y. Atal B",22,76,85,4,"Attacker",1e+07,20000,4,348,354,409,347,346,5
"J. Briand",32,76,76,1,"Attacker",6e+06,40000,3,377,344,348,366,337,3
"F. Caputo",30,76,76,2,"Attacker",7500000,15000,3,343,312,406,385,272,4
"A. Roa",25,76,77,4,"Attacker",9e+06,4000,4,319,377,390,322,300,3
"Gonçalo Paciência",23,76,80,3,"Attacker",1e+07,30000,4,325,310,346,369,338,4
"Córdoba",21,76,83,3,"Attacker",1.1e+07,20000,4,319,330,397,359,329,3
"A. Knockaert",26,76,76,3,"Attacker",8500000,40000,4,340,374,393,341,348,3
"E. Valencia",28,76,76,4,"Attacker",8e+06,50000,4,349,345,406,398,314,3
"L. Rodríguez",33,76,76,2,"Attacker",4800000,15000,4,352,377,364,347,317,4
"N. Castillo",25,76,79,3,"Attacker",1e+07,60000,3,338,344,347,388,336,3
"I. Pussetto",22,76,84,4,"Attacker",11500000,20000,3,342,309,368,364,248,4
"Vieirinha",32,76,76,1,"Attacker",4300000,2000,4,360,384,400,356,368,4
"B. Embolo",21,76,85,2,"Attacker",1.2e+07,20000,3,338,338,370,366,317,4
"O. Toivonen",31,76,76,1,"Attacker",7e+06,10000,3,380,371,299,353,338,4
"T. Pukki",28,76,76,3,"Attacker",8e+06,30000,3,321,275,390,361,305,3
"R. Brady",26,76,76,1,"Attacker",8500000,50000,4,346,382,375,362,345,3
"A. Ndiaye",21,76,85,3,"Attacker",1.2e+07,15000,4,341,348,409,359,293,4
"J. WillemsB",24,76,79,2,"Attacker",8e+06,20000,3,335,374,379,376,334,4
"J. Mateta",21,76,84,4,"Attacker",11500000,20000,3,327,269,343,373,295,4
"Alex Berenguer B",22,76,81,3,"Attacker",10500000,30000,3,325,338,396,342,347,3
"Y. Kobayashi",30,76,76,2,"Attacker",7500000,10000,3,355,322,390,359,295,4
"Borja Bastón",25,76,77,NA,"Attacker",9500000,20000,3,349,309,285,367,300,4
"I. Brizuela",27,76,76,3,"Attacker",8e+06,40000,4,321,348,415,354,308,4
"Andeson Trigo",30,76,76,2,"Attacker",5500000,30000,3,329,382,422,346,344,3
"L. Christodoulopoulos",31,76,76,1,"Attacker",7e+06,2000,3,354,392,359,358,326,4
"D. Moreno",32,76,76,1,"Attacker",6e+06,20000,3,364,366,360,347,320,4
"M. Benítez",24,76,80,2,"Attacker",1e+07,20000,4,342,324,391,345,314,2
"Pedraza  B",22,76,81,2,"Attacker",10500000,30000,3,339,350,365,359,327,2
"M. Vargas",21,76,87,1,"Attacker",1.3e+07,15000,4,314,337,422,334,287,3
"Á. Szalai",30,76,76,1,"Attacker",7500000,30000,3,353,292,289,362,334,3
"J. Brekalo",20,76,84,4,"Attacker",11500000,30000,4,317,349,409,313,264,3
"M. Pjaca",23,76,82,NA,"Attacker",10500000,50000,3,354,394,379,364,282,4
"F. Kamano",22,76,81,2,"Attacker",10500000,40000,4,335,347,405,331,294,4
"E. Ünal",21,76,82,NA,"Attacker",10500000,15000,3,349,328,362,387,285,3
"Léo Matos",32,76,76,2,"Attacker",4300000,2000,4,349,340,391,370,346,3
"Rubén Sobrino",26,76,77,3,"Attacker",9e+06,30000,3,350,333,379,352,293,4
"D. Mbokani",32,76,76,1,"Attacker",6e+06,15000,3,341,312,365,376,335,3
"Jonathas",29,76,76,1,"Attacker",7500000,40000,3,351,269,324,373,326,3
"M. Simon",22,76,82,4,"Attacker",10500000,20000,4,346,314,439,379,270,5
"A. Danjuma Groeneveld",21,76,83,3,"Attacker",1.1e+07,15000,4,316,361,387,366,269,4
"M. Cornet",21,76,81,2,"Attacker",10500000,40000,3,358,336,402,376,312,5
"Sergi Guardiola",27,76,76,4,"Attacker",8e+06,20000,3,341,314,348,370,295,3
"R. Ruidíaz",27,76,76,2,"Attacker",8e+06,10000,4,358,338,389,351,305,4
"Adrián",30,76,76,0,"Attacker",7500000,15000,3,359,361,348,343,306,3
"P. Schick",22,76,83,3,"Attacker",1.1e+07,50000,4,362,357,369,346,288,2
"Aleix Vidal",28,76,76,3,"Attacker",6e+06,15000,3,328,336,406,358,339,4
"Francis B",22,75,83,4,"Attacker",1e+07,20000,3,310,335,398,278,316,3
"M. Phillips",27,75,75,1,"Attacker",7e+06,30000,4,328,343,392,349,292,4
"J. Stanislas",28,75,75,2,"Attacker",6500000,60000,3,311,370,359,314,304,3
"Fran Sol",26,75,76,4,"Attacker",8e+06,2000,3,326,305,344,375,287,3
"M. Braithwaite",27,75,75,NA,"Attacker",7e+06,30000,4,351,362,386,382,316,4
"A. Morelos",22,75,83,4,"Attacker",1e+07,40000,3,318,301,370,374,314,4
"Jesé",25,75,76,NA,"Attacker",8e+06,20000,4,323,368,389,353,284,4
"M. Waris",26,75,76,NA,"Attacker",8e+06,30000,3,335,313,415,367,320,4
"T. Bongonda",22,75,81,3,"Attacker",9e+06,15000,4,321,349,401,339,255,3
"J. Furch",28,75,75,1,"Attacker",7e+06,20000,3,343,302,295,385,312,3
"Saúl Berjón",32,75,75,1,"Attacker",5e+06,10000,3,345,382,369,363,319,4
"D. Machís",25,75,76,NA,"Attacker",8e+06,10000,4,323,340,423,365,310,4
"G. Carrillo",27,75,75,NA,"Attacker",7e+06,30000,3,332,283,315,373,320,3
"Ö. Şahiner",26,75,75,3,"Attacker",7e+06,20000,3,329,368,393,353,340,3
"K. Billiat",27,75,75,2,"Attacker",7e+06,2000,4,344,356,398,352,323,4
"Ivan Cavaleiro",24,75,78,2,"Attacker",8500000,50000,4,333,350,396,330,321,4
"S. Thioub",23,75,79,2,"Attacker",8500000,15000,3,338,347,380,353,260,4
"C. Benteke",27,75,75,1,"Attacker",7e+06,50000,2,348,307,305,382,297,3
"D. Royer",28,75,75,1,"Attacker",6500000,9000,4,331,347,397,371,331,3
"R. Oudin",21,75,82,2,"Attacker",9500000,15000,3,357,366,370,367,283,3
"M. Risse",28,75,75,3,"Attacker",6500000,20000,3,336,363,379,372,349,2
"Ł. Teodorczyk",27,75,75,3,"Attacker",7e+06,30000,3,358,278,323,370,310,2
"R. Berić",27,75,75,3,"Attacker",7e+06,30000,3,347,325,306,357,326,3
"P. Ntep",25,75,75,2,"Attacker",7e+06,40000,3,319,365,385,338,303,4
"Diego Castro",35,75,75,1,"Attacker",2900000,7000,4,341,380,364,327,347,4
"N. Müller",30,75,75,NA,"Attacker",6500000,30000,3,353,347,402,342,335,3
"Jason",23,75,78,0,"Attacker",8500000,20000,3,348,359,385,360,315,4
"L. Dimata",20,75,83,NA,"Attacker",1e+07,15000,3,328,262,369,376,299,3
"R. Quaison",24,75,78,2,"Attacker",8500000,20000,3,340,347,380,353,313,3
"H. Villalba",23,75,78,0,"Attacker",8500000,8000,4,325,339,438,341,314,4
"José Mirazar",34,75,75,2,"Attacker",3400000,30000,3,348,382,373,327,306,3
"A. Hernández",27,75,75,2,"Attacker",7e+06,1000,3,332,320,387,354,305,4
"N. Maupay",21,75,81,2,"Attacker",9500000,30000,3,347,321,381,332,324,3
"J. Rodríguez",24,75,78,0,"Attacker",8500000,20000,3,339,320,391,379,314,3
"A. Ounas",21,75,84,3,"Attacker",10500000,40000,3,327,356,406,315,313,4
"Á. Mena",30,75,75,4,"Attacker",6500000,30000,4,347,350,415,306,286,4
"O. Peralta",34,75,75,1,"Attacker",3500000,60000,3,348,334,349,371,342,4
"Davidson",27,75,75,3,"Attacker",7e+06,10000,4,321,354,379,347,274,3
"L. De Silvestri",30,75,75,1,"Attacker",6500000,40000,4,364,351,354,381,330,3
"M. Saracchi",20,75,82,4,"Attacker",8e+06,30000,3,330,326,396,362,338,3
"A. Paloschi",28,75,75,2,"Attacker",7e+06,15000,3,348,304,368,350,324,4
"J. Damm",25,75,76,3,"Attacker",8e+06,40000,3,322,339,415,338,305,3
"G. Nkoudou",23,75,80,NA,"Attacker",9e+06,50000,3,335,347,426,318,269,4
"R. Orsolini",21,75,86,NA,"Attacker",11500000,20000,4,335,370,376,340,277,4
"R. Falk",26,75,76,3,"Attacker",7500000,20000,4,329,340,423,363,329,4
"Kenedy",22,75,82,NA,"Attacker",9500000,40000,4,333,353,382,346,310,2
"A. Musa",25,75,76,3,"Attacker",8e+06,30000,3,341,311,435,355,270,3
"A. Diaby",27,75,75,4,"Attacker",7e+06,15000,3,348,323,437,369,306,2
"C. Kouamé",20,75,89,4,"Attacker",1.5e+07,15000,3,327,298,377,355,295,4
"Burgui",24,75,78,2,"Attacker",8500000,20000,3,326,358,359,321,276,3
"O. Kamara",28,75,75,2,"Attacker",7e+06,10000,3,340,305,365,377,317,3
"Éder",30,75,75,1,"Attacker",6500000,2000,3,330,290,357,358,351,4
"P. Cissé",33,75,75,1,"Attacker",4200000,15000,3,358,341,352,365,293,4
"J. Drmić",25,75,76,0,"Attacker",8e+06,30000,3,363,336,366,358,313,4
"Nicholas Aldair",26,75,75,2,"Attacker",7500000,30000,3,361,327,331,380,322,3
"R. Sessegnon",18,75,86,1,"Attacker",10500000,20000,4,328,312,409,321,334,3
"M. Coco",22,75,81,1,"Attacker",9e+06,20000,3,349,314,394,320,298,3
"K. Babacar",25,75,77,3,"Attacker",8500000,50000,3,339,318,343,360,280,3
"J. Córdoba",25,75,78,2,"Attacker",8500000,20000,3,336,310,372,392,337,3
"J. Bowen",21,75,83,1,"Attacker",1e+07,20000,4,325,350,395,341,303,3
"S. Mounié",23,75,82,2,"Attacker",9500000,40000,3,354,286,320,376,322,3
"S. Schrijvers",21,75,81,3,"Attacker",9500000,20000,3,356,356,386,362,328,4
"H. Rodallega",32,75,75,0,"Attacker",5500000,30000,3,360,350,374,382,312,3
"N. Dirar",32,75,75,1,"Attacker",5e+06,50000,3,319,357,372,364,320,4
"F. Santander",27,75,75,3,"Attacker",7e+06,30000,3,343,305,349,376,324,2
"P. Tau",24,75,79,NA,"Attacker",0,0,4,356,358,388,283,296,4
"J. Kluivert",19,75,86,4,"Attacker",1.1e+07,30000,4,326,344,414,343,294,4
"M. Konaté",25,75,78,2,"Attacker",8500000,20000,3,338,265,390,360,270,4
"D. Rolán",25,75,78,NA,"Attacker",8500000,20000,3,355,348,374,343,325,4
"Galeno",20,75,85,NA,"Attacker",1.1e+07,9000,4,303,350,393,349,294,3
"J. Ayew",26,75,75,NA,"Attacker",7500000,50000,4,362,355,381,367,325,3
"Cucurella",19,75,84,NA,"Attacker",1e+07,10000,3,300,331,395,329,323,3
"Sandro",22,75,81,NA,"Attacker",9500000,20000,3,341,377,377,349,297,4
"R. van Wolfswinkel",29,75,75,1,"Attacker",6500000,30000,3,360,330,334,357,330,4
"O. Idrissi",22,75,82,3,"Attacker",9500000,15000,4,341,380,384,356,266,2
"D. Quintero",30,75,75,2,"Attacker",6500000,10000,4,337,358,423,340,307,3
"Y. Karamoh",19,75,84,NA,"Attacker",1e+07,15000,4,339,337,367,340,289,4
"A. Donnarumma",27,75,75,3,"Attacker",7e+06,6000,3,339,329,377,348,275,3
"S. Kalu",20,75,86,4,"Attacker",11500000,30000,4,324,355,404,317,275,4
"J. Tavernier",26,75,76,3,"Attacker",6500000,40000,3,330,367,391,373,357,3
"R. Skov",22,75,83,3,"Attacker",1e+07,20000,3,329,395,381,363,337,3
"J. Urretaviscaya",28,75,75,0,"Attacker",6500000,50000,4,336,362,391,341,290,3
"D. Bouanga",23,75,79,2,"Attacker",8500000,15000,4,341,360,359,350,277,4
"J. Fernandes",29,75,75,1,"Attacker",6500000,15000,4,366,344,369,367,311,4
"D. N'Doye",33,75,75,1,"Attacker",4200000,20000,3,333,320,351,378,316,3
"E. Ávila",24,75,80,NA,"Attacker",9e+06,20000,3,345,324,391,363,325,4
"J. Campbell",26,75,75,NA,"Attacker",7e+06,30000,4,334,365,398,369,329,2
"A. Lennon",31,75,75,1,"Attacker",6e+06,50000,3,305,334,410,317,317,3
"A. Mitriță",23,75,79,4,"Attacker",8500000,9000,3,302,348,426,292,274,5
"Borja Valle",25,75,76,1,"Attacker",8e+06,10000,3,349,346,356,359,286,4
"Hernâni",26,75,75,0,"Attacker",7e+06,15000,4,328,345,413,314,273,2
"K. Fofana",26,75,75,NA,"Attacker",0,0,3,361,327,331,380,322,3
"P. Hurtado",27,75,75,2,"Attacker",7e+06,20000,4,357,362,381,351,300,4
"M. Antenucci",33,75,75,1,"Attacker",4200000,15000,4,343,355,372,339,317,4
"T. Abraham",20,75,85,NA,"Attacker",1.1e+07,15000,3,328,274,347,353,274,3
"F. Niederlechner",27,75,75,1,"Attacker",7e+06,30000,3,337,290,345,370,316,4
"L. Díaz",21,75,86,2,"Attacker",11500000,4000,4,309,327,410,341,264,4
"R. Ibarra",27,75,75,2,"Attacker",7e+06,50000,3,317,335,410,356,315,3
"Rubén Castro",37,75,75,1,"Attacker",1900000,10000,3,344,337,384,342,316,3
"F. Jara",29,75,75,3,"Attacker",6500000,30000,3,359,336,364,358,300,3
"V. Lazaro",22,75,80,2,"Attacker",7500000,20000,4,347,380,405,334,354,3
"A. Elis",22,75,81,2,"Attacker",9e+06,8000,4,331,330,397,363,311,4
"D. Gray",22,75,82,2,"Attacker",9500000,50000,4,287,349,409,330,262,3
"M. Leckie",27,75,75,2,"Attacker",7e+06,30000,3,349,313,403,375,334,4
"L. Quiñones",27,75,75,4,"Attacker",7e+06,50000,4,334,319,412,319,278,4
"F. Kainz",25,75,76,3,"Attacker",8e+06,20000,4,313,369,402,345,251,5
"D. Buonanotte",30,75,75,1,"Attacker",6500000,10000,4,302,378,421,296,267,4
"Jovane Cabral",20,75,84,4,"Attacker",10500000,10000,4,335,357,417,353,286,4
"M. Diagne",26,75,76,4,"Attacker",8e+06,50000,2,320,247,277,350,275,3
"Y. Bolasie",29,75,75,NA,"Attacker",6500000,20000,5,332,341,381,381,311,4
"J. Fuenzalida",33,75,75,0,"Attacker",4e+06,10000,3,327,349,423,340,340,4
"A. Hurtado",31,75,75,4,"Attacker",6e+06,40000,3,350,348,419,367,306,4
"V. Janssen",24,75,78,1,"Attacker",8500000,60000,3,326,275,321,352,320,4
"J. Hernández",19,75,82,NA,"Attacker",9e+06,15000,3,336,325,395,369,294,4
"B. Raman",23,75,80,3,"Attacker",9e+06,20000,3,341,343,432,342,295,4
"R. Rodelin",28,75,75,2,"Attacker",7e+06,20000,3,376,357,331,380,309,3
"H. Soudani",30,75,75,2,"Attacker",6500000,50000,4,357,345,361,345,338,4
"Lekue",25,75,77,4,"Attacker",6500000,20000,3,319,343,395,349,333,3
"A. Lookman",20,75,86,2,"Attacker",11500000,50000,3,322,328,405,333,308,4
"L. Podolski",33,75,75,0,"Attacker",4e+06,10000,4,374,375,343,391,334,3
"Guilherme",27,75,75,NA,"Attacker",7e+06,15000,4,319,333,429,352,320,3
"A. Solari",26,75,75,2,"Attacker",7e+06,20000,3,302,364,416,367,334,4
"M. Schnatterer",32,75,75,2,"Attacker",5e+06,15000,3,323,384,367,363,320,4
"D. Lukebakio",20,75,82,NA,"Attacker",9500000,20000,4,329,350,394,353,266,4
"S. Romero",29,75,75,2,"Attacker",6500000,20000,3,354,328,368,351,290,3
"M. Thuram",20,75,83,1,"Attacker",1e+07,15000,3,354,285,362,368,306,3
"S. Sinclair",29,75,75,1,"Attacker",6500000,50000,4,337,331,428,355,310,4
"O. Watkins",22,74,81,2,"Attacker",8e+06,40000,3,322,323,388,337,284,3
"S. March",23,74,77,3,"Attacker",7e+06,40000,3,308,354,378,310,280,2
"K. Grosicki",30,74,74,1,"Attacker",5500000,30000,3,351,360,392,331,302,3
"Ivi",24,74,77,NA,"Attacker",7e+06,9000,3,337,357,390,354,304,3
"R. Nuzzolo",34,74,74,1,"Attacker",3e+06,10000,3,363,372,353,372,306,4
"R. Assalé",24,74,79,2,"Attacker",7500000,20000,3,335,330,442,313,263,3
"Alan Patrick",27,74,74,3,"Attacker",6e+06,1000,4,327,379,372,343,301,3
"K. Ansarifard",28,74,74,1,"Attacker",6e+06,50000,3,336,315,358,353,310,4
"D. Sakho",28,74,74,NA,"Attacker",6e+06,20000,3,342,311,348,353,306,3
"T. Matavž",29,74,74,1,"Attacker",5500000,15000,3,336,303,292,356,286,4
"J. Hoilett",28,74,74,2,"Attacker",5500000,40000,3,334,350,413,345,323,3
"Diego Oliveira",28,74,74,0,"Attacker",6e+06,10000,3,332,321,347,368,312,5
"S. Gümüş",24,74,76,0,"Attacker",7e+06,40000,3,331,337,402,352,285,3
"Enric Gallego",31,74,74,3,"Attacker",5e+06,20000,3,323,270,319,359,293,3
"M. Alustiza",34,74,74,NA,"Attacker",3e+06,10000,4,360,354,366,347,315,4
"Vadillo",23,74,79,1,"Attacker",7500000,9000,4,311,358,405,316,285,3
"C. Atsu",26,74,74,2,"Attacker",6e+06,40000,3,304,340,428,306,293,3
"G. Pandev",34,74,74,2,"Attacker",3e+06,15000,3,360,378,323,326,307,3
"S. Vokes",28,74,74,3,"Attacker",6e+06,40000,2,351,302,288,393,347,3
"A. Chahechouhe",31,74,74,0,"Attacker",4900000,15000,4,347,333,373,338,296,4
"T. Castagne",22,74,83,1,"Attacker",8500000,20000,3,309,303,365,331,298,3
"F. Di Santo",29,74,74,0,"Attacker",5500000,20000,3,357,333,338,354,340,3
"H. Wilson",21,74,85,NA,"Attacker",9500000,30000,3,332,371,394,317,267,3
"Á. González",24,74,77,1,"Attacker",7e+06,15000,3,297,300,405,336,308,3
"Joselu",28,74,74,1,"Attacker",6e+06,40000,3,350,329,307,354,300,3
"L. Griffiths",27,74,74,3,"Attacker",6e+06,50000,3,336,351,387,376,293,3
"E. Ponce",21,74,80,1,"Attacker",8e+06,1000,3,333,317,377,367,268,3
"Jairo",24,74,75,1,"Attacker",7e+06,10000,3,312,348,411,323,296,4
"C. Adams",21,74,81,3,"Attacker",8e+06,20000,3,309,320,394,380,312,4
"L. Rodríguez B",27,74,74,1,"Attacker",4600000,40000,3,318,339,390,359,318,2
"Hélder Costa",24,74,76,1,"Attacker",7e+06,50000,4,309,364,405,300,288,4
"K. Roofe",25,74,76,1,"Attacker",7e+06,40000,3,349,334,388,375,320,4
"G. Haraguchi",27,74,74,2,"Attacker",6e+06,30000,4,304,338,408,300,265,4
"C. Njie",24,74,77,1,"Attacker",7500000,30000,3,344,318,432,342,282,2
"J. Kopic",28,74,74,3,"Attacker",5500000,1000,3,327,352,377,333,290,4
"Ferrán Torres",18,74,86,2,"Attacker",9500000,15000,3,318,327,362,316,262,4
"Ó. Opazo",27,74,74,1,"Attacker",4600000,8000,3,325,339,413,355,317,5
"J. Schlupp",25,74,75,2,"Attacker",6500000,40000,3,333,298,399,367,347,2
"Pedro Henrique",28,74,74,1,"Attacker",5500000,2000,3,339,362,400,287,269,4
"Rafael Leão",19,74,86,4,"Attacker",1e+07,15000,4,323,330,378,347,282,4
"B. Kuwas",25,74,75,1,"Attacker",6500000,8000,4,307,370,386,360,270,3
"M. Destro",27,74,74,1,"Attacker",6e+06,30000,4,344,307,367,333,287,3
"R. Hennings",30,74,74,1,"Attacker",5500000,30000,3,341,330,339,395,315,3
"S. Okazaki",32,74,74,0,"Attacker",4400000,50000,3,354,325,355,354,339,4
"É. Puch",31,74,74,4,"Attacker",4900000,10000,4,289,325,409,350,315,3
"L. Mothiba",22,74,83,4,"Attacker",9e+06,15000,3,339,309,347,349,282,3
"M. Estigarribia",30,74,74,2,"Attacker",5500000,15000,3,339,358,386,338,341,4
"C. González",25,74,76,0,"Attacker",7e+06,20000,3,332,246,333,370,276,3
"Leandro Damião",28,74,74,1,"Attacker",6e+06,10000,3,338,321,276,365,304,2
"N. Silva",28,74,74,0,"Attacker",5500000,15000,3,292,354,429,275,238,4
