"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Weak.foot","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Total.defending"
"R. Gagliardini",24,78,81,4,"Midfielder",1.1e+07,50000,3,2,337,333,334,367,333,231
"M. Meyer",22,78,82,2,"Midfielder",13500000,50000,4,4,318,383,389,306,362,199
"Pere Pons",25,78,81,1,"Midfielder",1.3e+07,30000,3,3,308,348,351,341,335,213
"S. Boufal",24,78,81,NA,"Midfielder",1.3e+07,20000,4,4,317,374,407,298,282,88
"D. Berardi",23,78,81,3,"Midfielder",1.3e+07,50000,4,3,363,383,391,361,333,105
"Otávio",23,78,83,2,"Midfielder",1.4e+07,15000,4,3,340,386,397,314,344,120
"F. Mollet",26,78,79,4,"Midfielder",1.2e+07,30000,4,4,331,385,392,355,330,147
"Óliver Torres",23,78,83,2,"Midfielder",13500000,15000,3,4,335,385,367,310,343,186
"Omar Mascarell",25,78,80,3,"Midfielder",10500000,30000,3,4,295,367,346,369,351,224
"B. Cristante",23,78,84,4,"Midfielder",1.4e+07,50000,4,3,357,361,316,367,356,223
"T. Savanier",26,78,79,3,"Midfielder",1.2e+07,20000,4,4,309,390,399,332,387,201
"J. Ward-Prowse",23,78,83,3,"Midfielder",1.4e+07,40000,3,3,350,416,349,351,359,188
"F. Fajr",29,78,78,2,"Midfielder",1e+07,30000,3,4,340,394,347,325,366,222
"K. Fortounis",25,78,80,4,"Midfielder",12500000,2000,3,4,354,400,378,350,327,118
"T. Vilhena",23,78,81,1,"Midfielder",1.3e+07,15000,3,4,361,377,386,397,355,206
"Fernando",26,78,80,2,"Midfielder",10500000,20000,3,3,311,394,374,381,343,224
"R. Saponara",26,78,78,NA,"Midfielder",1.1e+07,40000,4,4,340,392,355,339,308,125
"M. van Ginkel",25,78,79,1,"Midfielder",1.2e+07,90000,3,4,378,369,336,371,371,212
"M. Gregoritsch",24,78,82,3,"Midfielder",13500000,20000,4,3,365,385,330,362,307,114
"Sérgio Oliveira",26,78,79,2,"Midfielder",1.2e+07,2000,3,3,361,389,324,362,369,185
"G. Krychowiak",28,78,78,2,"Midfielder",8500000,2000,3,3,295,336,314,382,354,220
"N. Lodeiro",29,78,78,2,"Midfielder",1e+07,10000,4,4,337,393,369,361,347,142
"O. Özyakup",25,78,79,3,"Midfielder",1.2e+07,50000,4,4,346,396,373,365,363,189
"E. Pérez",32,78,78,1,"Midfielder",6e+06,20000,4,4,347,352,380,372,388,228
"T. Cairney",27,78,78,5,"Midfielder",1.1e+07,60000,4,2,357,387,365,354,332,175
"R. Cabella",28,78,78,3,"Midfielder",10500000,40000,4,4,350,389,399,310,318,97
"D. Pröpper",26,78,78,2,"Midfielder",1.1e+07,50000,4,3,338,374,341,383,354,202
"Y. Mallı",26,78,78,2,"Midfielder",1.1e+07,50000,4,4,339,379,384,323,327,81
"F. Orellana",32,78,78,1,"Midfielder",8e+06,30000,4,4,357,394,389,308,311,105
"P. Groß",27,78,78,3,"Midfielder",10500000,50000,4,4,354,390,335,375,357,180
"J. Baumgartlinger",30,78,78,1,"Midfielder",7500000,50000,2,3,302,306,342,358,346,234
"Iborra",30,78,78,4,"Midfielder",9500000,30000,3,4,347,366,231,360,380,227
"Susaeta",30,78,78,1,"Midfielder",1e+07,15000,4,3,350,411,370,342,324,107
"J. Shelvey",26,78,79,2,"Midfielder",1.2e+07,50000,3,3,350,377,325,377,371,186
"A. Dzagoev",28,78,78,2,"Midfielder",10500000,2000,4,3,350,371,373,360,362,210
"K. Honda",32,78,78,0,"Midfielder",8e+06,10000,4,3,364,420,376,384,323,155
"E. Hernández",30,78,78,0,"Midfielder",1e+07,30000,4,3,355,380,383,352,301,147
"D. Drinkwater",28,78,78,3,"Midfielder",10500000,1e+05,3,4,334,377,346,349,350,218
"Mikel San José",29,78,78,1,"Midfielder",1e+07,30000,2,3,350,291,270,392,358,231
"Adrien Silva",29,78,78,NA,"Midfielder",1e+07,70000,3,4,360,390,332,341,391,208
"Bruno",34,78,78,1,"Midfielder",5e+06,30000,3,3,318,377,248,333,379,232
"F. Delph",28,78,78,1,"Midfielder",8e+06,1e+05,3,3,338,360,399,376,370,230
"R. Vormer",30,78,78,3,"Midfielder",9500000,30000,3,4,375,370,336,388,388,220
"Granero",30,78,78,1,"Midfielder",9500000,30000,4,4,351,394,323,333,369,196
"M. Schneiderlin",28,78,78,2,"Midfielder",8500000,80000,3,3,326,350,324,347,349,229
"Manu García",32,78,78,1,"Midfielder",6e+06,20000,2,3,314,317,317,368,367,231
"L. Schøne",32,78,78,1,"Midfielder",8e+06,20000,3,3,374,409,320,368,366,169
"S. Defour",30,78,78,1,"Midfielder",9500000,60000,3,3,355,387,357,361,378,221
"N. Şahin",29,78,78,1,"Midfielder",8e+06,30000,3,3,366,402,303,362,334,226
"J. dos Santos",28,78,78,0,"Midfielder",10500000,10000,3,4,343,382,375,354,346,212
"M. Boussoufa",33,78,78,4,"Midfielder",6500000,40000,5,3,340,393,387,324,330,129
"R. Montolivo",33,78,78,4,"Midfielder",4200000,70000,4,4,340,405,318,353,350,218
"J. Dátolo",34,78,78,1,"Midfielder",5e+06,20000,4,3,350,397,358,340,333,126
"D. Baier",34,78,78,1,"Midfielder",3100000,30000,3,3,316,365,322,324,349,218
"O. Abdulrahman",26,77,78,0,"Midfielder",10500000,40000,5,3,321,385,397,309,283,102
"Chiquinho",22,77,83,4,"Midfielder",1.2e+07,8000,3,3,314,378,394,296,328,183
"N. Vlašić",20,77,85,3,"Midfielder",1.3e+07,1000,3,4,347,355,386,334,305,146
"N. Maksimović",23,77,83,5,"Midfielder",1.2e+07,20000,3,3,328,356,342,357,349,221
"Wendel",20,77,85,4,"Midfielder",1.3e+07,10000,3,3,333,367,383,378,356,217
"E. Bardhi",22,77,83,3,"Midfielder",1.2e+07,20000,4,4,362,414,376,339,347,190
"A. Barák",23,77,84,3,"Midfielder",12500000,20000,4,3,344,364,332,372,338,153
"Marc Roca",21,77,87,3,"Midfielder",12500000,20000,3,3,293,340,332,313,335,228
"R. Marin",22,77,83,4,"Midfielder",1.2e+07,15000,4,4,349,387,353,371,360,191
"M. Arambarri",22,77,82,4,"Midfielder",1e+07,20000,3,3,292,338,311,317,334,229
"C. Nkunku",20,77,85,1,"Midfielder",1.3e+07,50000,3,3,342,380,388,346,348,211
"S. Ascacíbar",21,77,84,4,"Midfielder",10500000,20000,3,3,263,286,379,353,313,239
"A. Harit",21,77,86,2,"Midfielder",13500000,20000,5,3,316,364,407,274,288,126
"N. Nández",22,77,84,1,"Midfielder",12500000,20000,3,3,308,316,400,389,368,229
"E. Akbaba",25,77,80,2,"Midfielder",1.1e+07,50000,4,3,347,380,368,354,345,157
"Simão Acunha",30,77,77,2,"Midfielder",8500000,30000,4,2,346,375,393,344,307,84
"G. Pereiro",23,77,82,1,"Midfielder",1.2e+07,15000,3,2,362,379,348,369,309,112
"D. Zakaria",21,77,85,3,"Midfielder",1.3e+07,20000,3,3,298,340,365,350,343,238
"G. Rodríguez",23,77,80,3,"Midfielder",9500000,50000,2,3,294,295,286,330,327,231
"E. Skhiri",23,77,81,1,"Midfielder",1e+07,20000,3,3,341,348,337,380,340,230
"L. Cook",21,77,84,3,"Midfielder",12500000,40000,3,4,310,369,375,335,352,204
"M. Lopez",20,77,83,2,"Midfielder",1.2e+07,30000,4,3,351,381,401,316,355,191
"D. Kuzyaev",25,77,80,NA,"Midfielder",0,0,3,3,321,353,388,348,348,224
"M. Ødegaard",19,77,86,NA,"Midfielder",13500000,8000,5,4,322,386,376,276,290,105
"G. Escalante",25,77,82,1,"Midfielder",1e+07,20000,3,3,326,327,351,375,361,227
"P. Pérez",32,77,77,1,"Midfielder",6500000,20000,3,3,303,364,364,346,372,217
"F. Mancuello",29,77,77,1,"Midfielder",8500000,30000,4,2,330,389,374,363,359,183
"A. Miranchuk",22,77,82,2,"Midfielder",1.2e+07,1000,3,2,324,339,364,327,290,79
"P. Højbjerg",22,77,82,2,"Midfielder",11500000,40000,3,4,331,367,331,382,348,213
"E. Pulgar",24,77,82,3,"Midfielder",1e+07,30000,3,2,308,361,340,382,351,231
"J. Hendrix",23,77,81,2,"Midfielder",1e+07,15000,2,3,316,325,362,365,347,223
"Tozé",25,77,78,0,"Midfielder",10500000,10000,4,3,353,388,400,329,327,131
"R. De Paul",24,77,82,4,"Midfielder",1.2e+07,30000,4,3,330,387,374,353,306,108
"M. Elneny",25,77,79,3,"Midfielder",9e+06,80000,3,3,297,346,320,374,344,222
"M. Benassi",23,77,82,3,"Midfielder",11500000,50000,3,3,354,364,349,378,348,215
"M. de Roon",27,77,77,3,"Midfielder",9e+06,30000,3,3,333,320,351,391,380,233
"Andreas Pereira",22,77,82,4,"Midfielder",11500000,90000,4,4,357,395,385,354,360,195
"R. Saïss",28,77,77,2,"Midfielder",7e+06,60000,3,3,301,320,333,333,330,226
"W. Hughes",23,77,83,3,"Midfielder",1.2e+07,50000,4,3,331,355,352,307,358,210
"D. Garmash",28,77,77,3,"Midfielder",9e+06,2000,3,3,311,301,344,373,361,211
"L. Castro",29,77,77,2,"Midfielder",8500000,30000,4,3,341,382,378,357,357,192
"S. Meïté",24,77,80,4,"Midfielder",1.1e+07,40000,4,3,325,342,342,396,350,223
"O. Yokuşlu",24,77,83,4,"Midfielder",10500000,20000,3,4,358,360,339,394,356,222
"M. Pereyra",28,77,77,1,"Midfielder",9e+06,10000,4,2,341,366,404,329,359,153
"O. Selnæs",23,77,81,NA,"Midfielder",0,0,3,3,325,363,346,333,330,215
"S. Sanogo",29,77,77,3,"Midfielder",7e+06,40000,3,3,286,338,353,393,341,222
"V. Fischer",24,77,80,3,"Midfielder",11500000,20000,4,4,342,364,393,351,318,112
"A. Trebel",27,77,77,4,"Midfielder",9e+06,20000,4,2,313,375,390,378,357,211
"T. Monconduit",27,77,78,2,"Midfielder",8500000,20000,2,3,301,346,330,356,342,227
"R. Freuler",26,77,78,3,"Midfielder",10500000,30000,4,3,322,358,347,346,344,216
"V. Darida",27,77,77,2,"Midfielder",9e+06,30000,3,4,323,376,379,366,346,198
"S. Rode",27,77,78,NA,"Midfielder",8500000,30000,3,3,317,318,353,365,353,232
"Pedro Obiang",26,77,79,3,"Midfielder",9e+06,60000,3,3,325,347,330,362,344,227
"P. Hernández",31,77,77,2,"Midfielder",7500000,20000,3,3,319,376,329,362,377,189
"D. Praet",24,77,82,2,"Midfielder",11500000,30000,4,4,353,377,362,352,333,181
"André André",28,77,77,2,"Midfielder",9e+06,15000,3,4,348,374,358,348,388,212
"Oriol Romeu",26,77,79,2,"Midfielder",9e+06,40000,2,3,247,304,282,323,330,231
"B. Natcho",30,77,77,1,"Midfielder",8e+06,2000,3,4,348,386,356,337,372,198
"Tomás Pina",30,77,77,2,"Midfielder",8e+06,20000,3,3,323,357,306,351,353,207
"C. Ortíz",29,77,77,2,"Midfielder",7e+06,40000,3,3,277,312,356,368,332,225
"J. Martin",28,77,77,1,"Midfielder",9e+06,20000,4,4,339,372,333,357,360,209
"A. Mooy",27,77,77,1,"Midfielder",9e+06,50000,3,3,336,376,341,366,366,213
"R. Soriano",27,77,77,NA,"Midfielder",9500000,30000,4,4,365,368,374,354,357,203
"A. Bertolacci",27,77,77,2,"Midfielder",9e+06,70000,3,3,347,368,368,363,347,210
"T. Rincón",30,77,77,3,"Midfielder",8e+06,40000,3,3,306,336,377,404,346,232
"B. André",27,77,77,3,"Midfielder",9e+06,30000,3,3,348,344,362,385,360,223
"Victor Sánchez",30,77,77,2,"Midfielder",6500000,30000,3,3,331,359,346,343,369,225
"D. Latza",28,77,77,2,"Midfielder",9e+06,30000,3,4,292,341,356,383,372,214
"Rafael Carioca",29,77,77,1,"Midfielder",8500000,50000,3,3,311,347,371,353,363,225
"C. Grenier",27,77,77,2,"Midfielder",9e+06,30000,4,4,377,398,320,363,363,172
"I. Radovanović",29,77,77,2,"Midfielder",7e+06,20000,3,3,308,343,306,391,352,214
"A. Poli",28,77,77,2,"Midfielder",9e+06,30000,4,3,331,373,374,353,364,220
"Maurício",29,77,77,1,"Midfielder",7e+06,2000,3,4,347,385,363,380,363,224
"C. Sánchez",32,77,77,1,"Midfielder",5e+06,60000,3,3,299,330,306,375,347,221
"A. Ekdal",28,77,77,2,"Midfielder",9e+06,40000,3,3,335,375,299,357,368,210
"V. Odjidja-Ofoe",29,77,77,2,"Midfielder",8500000,20000,3,4,364,370,294,381,362,205
"Z. Junuzović",30,77,77,2,"Midfielder",8e+06,40000,3,4,366,405,393,378,360,191
"K. El Ahmadi",33,77,77,1,"Midfielder",3600000,40000,3,2,315,346,351,361,365,218
"Gelson Fernandes",31,77,77,1,"Midfielder",6e+06,30000,2,3,304,312,333,357,345,227
"R. Sambueza",34,77,77,2,"Midfielder",4500000,30000,4,3,345,396,356,371,367,127
"J. Sosa",33,77,77,1,"Midfielder",5e+06,30000,4,4,345,413,365,333,360,187
"C. Tévez",34,77,77,0,"Midfielder",4500000,20000,4,3,355,361,365,352,335,136
"L. Ponzio",36,77,77,1,"Midfielder",1200000,15000,3,3,291,335,322,363,372,234
"B. Džemaili",32,77,77,1,"Midfielder",6500000,30000,4,4,364,378,339,369,369,217
"Jonatan Soriano",32,77,77,1,"Midfielder",7e+06,40000,4,3,364,394,347,362,338,71
"G. Castro",31,76,76,2,"Midfielder",6500000,30000,3,4,334,381,370,355,348,207
"Mario Suárez",31,76,76,3,"Midfielder",6500000,20000,3,4,316,365,272,359,344,191
"V. Behrami",33,76,76,0,"Midfielder",3100000,20000,3,3,331,354,345,363,367,226
"E. Çolak",27,76,76,2,"Midfielder",8e+06,30000,4,3,356,385,381,287,316,122
"M. Nakamba",24,76,80,3,"Midfielder",8500000,15000,3,2,251,297,377,373,320,230
"S. Sydorchuk",27,76,77,4,"Midfielder",7500000,2000,3,3,269,311,315,329,319,214
"L. Rupp",27,76,76,1,"Midfielder",8e+06,30000,3,3,325,364,368,343,334,208
"Y. Gerhardt",24,76,81,2,"Midfielder",1e+07,30000,3,3,338,345,353,353,342,221
"B. Dočkal",29,76,76,3,"Midfielder",7500000,2000,4,4,360,385,339,343,333,138
"Á. Nagy",23,76,83,2,"Midfielder",9500000,20000,3,5,322,374,379,302,340,215
"Fransérgio",27,76,76,3,"Midfielder",8e+06,15000,3,3,349,340,297,375,377,207
"Javi Fuego",34,76,76,1,"Midfielder",2300000,30000,2,3,300,329,297,343,352,233
"I. Popov",30,76,76,NA,"Midfielder",0,0,4,4,358,368,362,354,344,136
"T. Cleverley",28,76,76,3,"Midfielder",7500000,50000,3,3,331,345,351,338,359,179
"M. Uribe",27,76,76,4,"Midfielder",8e+06,50000,3,4,335,352,359,388,352,203
"P. Bargfrede",29,76,76,3,"Midfielder",6e+06,30000,3,3,294,328,358,341,342,233
"J. Jankto",22,76,85,NA,"Midfielder",11500000,30000,4,3,342,350,384,352,335,204
"D. Brooks",20,76,86,4,"Midfielder",12500000,40000,4,4,340,356,390,336,315,127
"Vicente Gómez",29,76,76,1,"Midfielder",7500000,10000,3,2,327,347,237,324,335,207
"M. Pašalić",23,76,83,NA,"Midfielder",10500000,20000,4,4,346,359,323,377,353,197
"R. Snodgrass",30,76,76,2,"Midfielder",7500000,70000,3,3,336,393,336,354,357,139
"C. Riveros",35,76,76,NA,"Midfielder",0,0,3,3,358,357,334,344,361,199
"M. Noble",31,76,76,2,"Midfielder",6500000,70000,3,3,338,367,289,346,388,221
"L. Baines",33,76,76,1,"Midfielder",3e+06,70000,3,3,362,391,348,332,387,228
"D. Pabón",30,76,76,1,"Midfielder",7500000,50000,3,4,344,370,409,407,342,103
"S. Lichtsteiner  B",34,76,76,0,"Midfielder",2200000,70000,3,3,329,354,357,358,353,225
"Embarba",26,76,76,2,"Midfielder",8500000,20000,3,3,319,351,388,336,321,142
"David Seijalbo",34,76,76,2,"Midfielder",2300000,30000,2,2,283,287,360,376,303,226
"O. El Kaddouri",27,76,76,2,"Midfielder",8e+06,2000,3,4,355,381,345,375,338,162
"Claudemir",30,76,76,2,"Midfielder",7e+06,15000,3,3,343,353,323,358,353,217
"T. Rogić",25,76,79,4,"Midfielder",9500000,50000,4,4,335,372,353,349,296,143
"Josué",27,76,76,1,"Midfielder",8e+06,20000,4,2,343,380,365,343,358,161
"Ki Sung Yueng",29,76,76,1,"Midfielder",7500000,50000,4,4,351,386,313,360,349,201
"G. Fernández",26,76,77,3,"Midfielder",9e+06,20000,3,3,310,377,367,367,330,208
"E. Giaccherini",33,76,76,2,"Midfielder",4700000,15000,4,4,346,378,399,320,349,184
"A. Živković",21,76,83,2,"Midfielder",1.1e+07,9000,4,3,327,385,401,298,328,165
"André Simões",28,76,76,4,"Midfielder",6e+06,2000,3,3,337,338,382,379,336,230
"S. Tshabalala",33,76,76,1,"Midfielder",4700000,15000,4,2,330,367,400,343,301,134
"F. Krovinović",22,76,82,3,"Midfielder",10500000,10000,4,4,325,367,357,326,350,168
"Y. Ōsako",28,76,76,3,"Midfielder",8e+06,30000,3,4,336,337,387,355,319,124
"R. Donk",32,76,76,1,"Midfielder",4400000,50000,3,2,312,301,286,401,340,215
"C. Borges",30,76,76,2,"Midfielder",5500000,20000,3,4,356,361,312,375,366,219
"Markel Bergara",32,76,76,1,"Midfielder",4400000,20000,3,3,310,339,293,343,354,222
"Guilherme",27,76,77,2,"Midfielder",7500000,2000,3,4,317,344,354,367,347,219
"A. Diamanti",35,76,76,0,"Midfielder",3400000,4000,4,2,343,392,344,335,312,92
"E. Cardona",25,76,77,NA,"Midfielder",9e+06,30000,3,4,362,398,322,374,345,103
"M. Moralez",31,76,76,2,"Midfielder",7e+06,10000,4,4,346,372,379,279,335,157
"A. Hutchinson",35,76,76,1,"Midfielder",1800000,30000,2,4,350,350,338,351,348,219
"J. McCarthy",27,76,76,1,"Midfielder",6500000,70000,3,4,326,352,322,327,355,225
"B. Dzsudzsák",31,76,76,NA,"Midfielder",0,0,4,4,343,389,380,358,327,83
"A. Westwood",28,76,76,1,"Midfielder",7500000,50000,3,3,327,381,351,358,353,225
"E. Palacios",19,76,86,2,"Midfielder",1.2e+07,10000,4,4,330,337,383,380,348,204
"L. Zuffi",28,76,76,2,"Midfielder",6e+06,20000,3,4,363,388,349,374,346,219
"Emilio Piodão",26,76,76,2,"Midfielder",6500000,15000,2,2,319,348,367,389,344,218
"S. Zuber B",26,76,76,NA,"Midfielder",8e+06,30000,3,4,345,368,371,380,359,210
"Paulinho",23,76,80,3,"Midfielder",1e+07,10000,4,3,322,360,391,318,299,73
"S. Hanni",27,76,76,2,"Midfielder",8e+06,2000,4,4,349,363,376,329,325,159
"M. Locatelli",20,76,84,NA,"Midfielder",1e+07,30000,3,3,334,353,317,355,334,224
"P. Rosario",21,76,83,4,"Midfielder",9500000,10000,3,3,304,315,355,373,336,218
"A. Haidara",20,76,84,4,"Midfielder",11500000,30000,4,2,324,362,383,374,345,195
"A. Turan",31,76,76,NA,"Midfielder",7e+06,20000,4,4,369,376,356,347,373,192
"N. Sansone",26,76,76,NA,"Midfielder",8500000,30000,4,3,358,365,401,345,333,123
"Iturraspe",29,76,76,0,"Midfielder",7500000,20000,3,3,318,354,268,316,355,228
"Melendo",20,76,86,3,"Midfielder",12500000,20000,3,3,306,311,388,303,297,169
"Pablo Hernández",33,76,76,1,"Midfielder",4700000,40000,4,3,346,386,372,346,335,132
"C. Gentner",32,76,76,0,"Midfielder",6e+06,30000,2,4,368,339,248,376,361,217
"Koo Ja Cheol",29,76,76,0,"Midfielder",7500000,30000,3,4,365,374,359,370,332,166
"S. Kums",30,76,76,3,"Midfielder",7e+06,20000,3,4,329,382,354,348,365,215
"D. Rice",19,76,87,5,"Midfielder",11500000,30000,2,3,249,279,304,308,299,228
"J. Allen",28,76,76,3,"Midfielder",7500000,40000,3,3,324,342,393,357,358,223
"A. Younes",24,76,77,4,"Midfielder",9500000,50000,4,2,301,369,411,277,307,98
"B. Santamaria",23,76,81,3,"Midfielder",8500000,20000,3,2,309,331,343,344,324,225
"A. Thomasson",24,76,78,2,"Midfielder",9500000,15000,4,4,342,349,377,351,341,178
"Aleñá",20,76,87,3,"Midfielder",1.3e+07,80000,4,3,284,357,386,326,343,180
"Y. Aït Bennasser",21,76,84,NA,"Midfielder",1.1e+07,20000,3,3,329,370,362,349,318,197
"W. Vainqueur",29,76,76,NA,"Midfielder",6e+06,50000,3,3,306,312,346,381,312,215
"R. Mandragora",21,76,86,4,"Midfielder",1.2e+07,20000,3,3,322,351,342,362,332,221
"J. De Guzmán",30,76,76,1,"Midfielder",7e+06,30000,3,4,348,393,383,380,340,153
"M. Grujić",22,76,86,NA,"Midfielder",1.1e+07,20000,3,3,348,342,321,367,357,216
"S. Brown",33,76,76,2,"Midfielder",3100000,40000,3,3,268,311,349,357,341,222
"Fernandinho",25,76,79,1,"Midfielder",9500000,15000,4,3,314,352,388,369,324,155
"P. Skjelbred",31,76,76,1,"Midfielder",5e+06,20000,3,3,275,352,351,324,341,214
"M. Gaćinović",23,76,82,3,"Midfielder",10500000,30000,4,3,327,346,400,330,329,190
"Brais Méndez",21,76,85,2,"Midfielder",1.2e+07,15000,4,3,337,372,350,356,309,121
"D. Stephens",29,76,76,2,"Midfielder",7500000,50000,3,3,346,347,325,380,344,213
"V. Koziello",22,76,82,3,"Midfielder",10500000,20000,4,4,328,351,411,296,374,200
"Camarasa",24,76,80,NA,"Midfielder",1e+07,40000,3,3,329,354,333,367,347,211
"G. Shibasaki",26,76,77,2,"Midfielder",9e+06,20000,4,3,335,358,368,331,357,206
"J. Grealish",22,76,83,4,"Midfielder",1.1e+07,20000,4,3,317,369,386,300,293,115
"D. Pelkas",24,76,79,2,"Midfielder",1e+07,2000,4,3,329,373,392,310,285,103
"E. Gutiérrez",23,76,82,4,"Midfielder",10500000,15000,4,2,331,347,361,358,345,200
"A. Hunt",31,76,76,1,"Midfielder",7e+06,15000,3,3,358,383,356,345,342,111
"I. Fernández",28,76,76,2,"Midfielder",7500000,20000,4,3,337,373,367,337,355,185
"L. Blas",20,76,86,2,"Midfielder",12500000,15000,3,3,351,354,378,336,342,189
"F. Neuhaus",21,76,85,2,"Midfielder",11500000,20000,3,3,313,340,373,332,311,187
"O. Duda",23,76,82,4,"Midfielder",10500000,20000,4,4,335,379,363,342,288,187
"J. McArthur",30,76,76,1,"Midfielder",7e+06,50000,3,3,331,336,351,340,372,212
"Rochina",27,76,76,2,"Midfielder",8e+06,20000,4,2,341,384,372,375,336,161
"N. Sliti",25,76,76,3,"Midfielder",8500000,15000,4,3,337,368,388,357,309,93
"Rubén Pérez",29,76,76,3,"Midfielder",6e+06,30000,2,3,255,317,301,371,349,218
"N. Mendy",26,76,78,1,"Midfielder",7500000,50000,3,3,304,343,374,349,322,223
"F. Valverde",19,76,88,2,"Midfielder",1.3e+07,50000,3,3,282,327,346,341,311,188
"Y. Yazıcı",21,76,83,3,"Midfielder",1.1e+07,20000,4,4,362,381,358,359,320,137
"K. Linetty",23,76,83,2,"Midfielder",10500000,30000,3,3,296,322,374,358,349,216
"K. Stöger",24,76,79,1,"Midfielder",1e+07,30000,3,3,327,362,370,337,280,102
"R. Hamouma",31,76,76,2,"Midfielder",7e+06,30000,3,4,362,374,372,334,320,120
"A. Diawara",20,76,84,2,"Midfielder",11500000,40000,3,3,297,331,356,328,338,219
"M. Topal",32,76,76,1,"Midfielder",4400000,50000,3,5,304,322,322,384,334,224
"M. Höger",28,76,76,2,"Midfielder",6e+06,20000,2,4,350,349,303,385,373,219
"F. Belluschi",34,76,76,1,"Midfielder",3900000,20000,3,4,348,386,369,365,367,192
"Ó. Trejo",30,76,76,1,"Midfielder",7e+06,20000,4,4,357,372,377,361,364,187
"N. El Zhar",31,76,76,1,"Midfielder",7e+06,30000,4,3,335,354,376,344,313,108
"A. Mierzejewski",31,76,76,4,"Midfielder",7e+06,10000,4,4,356,367,373,377,337,114
"J. Cork",29,76,76,2,"Midfielder",7500000,50000,3,4,337,353,318,373,354,228
"X. Schlager",20,76,84,2,"Midfielder",11500000,30000,3,3,298,354,397,365,343,201
"M. Bradley",30,76,76,0,"Midfielder",5500000,9000,2,3,338,364,318,330,349,208
"T. Mangani",31,76,76,1,"Midfielder",6500000,20000,3,3,344,376,320,369,362,213
"N. Domingo",33,76,76,1,"Midfielder",3100000,20000,3,3,303,322,336,346,341,223
"M. Terrier",21,76,85,3,"Midfielder",1.2e+07,40000,4,3,349,350,379,351,297,99
"F. Higuaín",33,76,76,1,"Midfielder",4700000,10000,3,4,354,383,334,332,333,139
"A. Rusnák",23,76,80,2,"Midfielder",1e+07,8000,3,4,337,368,375,339,315,138
"Otávio",24,76,79,2,"Midfielder",8e+06,30000,3,3,291,306,349,343,320,233
"J. Clasie",27,76,76,NA,"Midfielder",8e+06,15000,3,4,300,371,368,355,368,203
"Mossoró",34,76,76,1,"Midfielder",3900000,20000,4,4,349,373,383,338,344,133
"C. Villanueva",32,76,76,1,"Midfielder",6e+06,40000,5,3,342,387,369,306,301,146
"S. Fofana",23,75,82,3,"Midfielder",9e+06,20000,3,4,306,330,367,374,345,205
"N. Radoja",25,75,78,0,"Midfielder",8e+06,20000,3,3,276,294,255,317,352,218
"L. Lerager",24,75,78,NA,"Midfielder",8500000,15000,3,3,341,303,319,369,345,204
"Gabriel Boschilia",22,75,81,NA,"Midfielder",9e+06,20000,3,3,332,386,372,321,274,147
"M. Zajc",24,75,80,4,"Midfielder",9e+06,50000,4,3,343,368,358,332,308,163
"Fabrio Farinha",26,75,75,2,"Midfielder",7e+06,30000,4,3,341,358,366,294,299,127
"L. Refaelov",32,75,75,2,"Midfielder",5e+06,15000,4,4,331,374,367,323,309,144
"Y. Gazinskiy",28,75,75,NA,"Midfielder",0,0,3,4,301,307,313,330,316,218
"M. Ninković",33,75,75,1,"Midfielder",4e+06,10000,4,3,331,356,355,344,334,133
"A. Touré",24,75,78,3,"Midfielder",7e+06,20000,3,3,249,304,245,348,290,227
"F. Gutiérrez",27,75,75,1,"Midfielder",7e+06,9000,3,4,337,373,366,322,356,177
"M. Rog",22,75,81,NA,"Midfielder",9e+06,15000,3,3,331,354,355,324,330,198
"Alfa Semedo",20,75,84,NA,"Midfielder",9e+06,15000,3,4,296,314,316,378,333,214
"A. Halilović",22,75,82,NA,"Midfielder",9500000,15000,4,3,299,377,389,284,316,124
"J. Hernández",29,75,75,2,"Midfielder",5e+06,30000,3,3,314,345,349,383,357,210
"J. Hendrick",26,75,76,1,"Midfielder",8e+06,50000,3,3,351,362,352,366,359,213
"A. Ademi",27,75,75,4,"Midfielder",5500000,1000,3,3,276,305,292,354,320,222
"João Novais",24,75,78,4,"Midfielder",8500000,10000,4,3,336,391,368,385,323,148
"Fábio Pacheco",30,75,75,2,"Midfielder",4900000,7000,2,3,283,306,346,357,312,225
"A. Maher",24,75,78,0,"Midfielder",8500000,15000,3,3,339,379,374,311,326,185
"O. Norwood",27,75,75,2,"Midfielder",7e+06,15000,2,3,339,367,326,341,347,213
"A. Potuk",27,75,75,3,"Midfielder",7e+06,50000,3,4,314,341,400,357,317,156
"Jozabed",27,75,75,2,"Midfielder",7e+06,20000,3,3,330,347,337,343,335,180
"T. Arslan",27,75,75,3,"Midfielder",5500000,50000,3,4,332,382,364,351,368,211
"S. Armstrong",26,75,76,3,"Midfielder",8e+06,40000,3,4,337,363,371,376,331,186
"Francisco Geraldes",23,75,82,2,"Midfielder",9500000,10000,4,4,308,379,389,292,293,137
"M. Rodríguez",37,75,75,0,"Midfielder",1800000,15000,4,4,365,378,350,349,345,113
"G. Imbula",25,75,78,NA,"Midfielder",8e+06,20000,4,2,281,337,346,377,299,178
"F. Frei",29,75,75,3,"Midfielder",5e+06,20000,3,3,365,359,347,374,363,211
