"","Name","Age","Overall rating","Potential","Team & Contract","ID","Height","Weight","foot","Best overall","Best position","Growth","Joined","Loan date end","Value","Wage","Release clause","Total attacking","Crossing","Finishing","Heading accuracy","Short passing","Volleys","Total skill","Dribbling","Curve","FK Accuracy","Long passing","Ball control","Total movement","Acceleration","Sprint speed","Agility","Reactions","Balance","Total power","Shot power","Jumping","Stamina","Strength","Long shots","Total mentality","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Total defending","Marking","Standing tackle","Sliding tackle","Total goalkeeping","GK Diving","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Total stats","Base stats","Weak foot","Skill moves","Attacking work rate","Defensive work rate","International reputation","Body type","Pace / Diving","Shooting / Handling","Passing / Kicking","Dribbling / Reflexes","Defending / Pace","Physical / Positioning"
NA,"A. GolovinCAM CM CF",22,79,85,"Monaco
2018 ~ 2023",225663,"180cm / 5'11""","69kg / 152lbs","Right",78,"CAM",6,"Jul 27, 2018","N/A","€17.5M","€60K","€36.8M",327,69,70,38,80,70,393,84,75,79,73,82,397,80,83,82,74,78,353,76,63,85,54,75,348,78,70,72,76,52,80,205,67,72,66,66,12,14,14,10,16,2089,444,4,4,"High","High",1,"Lean (170-185)",82,71,76,82,66,67
NA,"M. CampañaGK",29,79,80,"Independiente
2017 ~ 2021",225647,"185cm / 6'1""","75kg / 165lbs","Right",78,"GK",1,"Jan 1, 2017","N/A","€10M","€20K","€15.8M",100,21,16,18,33,12,105,18,15,13,28,31,245,42,48,40,71,44,208,31,60,19,81,17,159,27,31,18,60,23,54,59,25,16,18,392,81,75,74,80,82,1268,437,3,1,"Medium","Medium",1,"Normal (185+)",81,75,74,82,45,80
NA,"C. PavónRW ST RM LW",22,79,86,"LA Galaxy
Dec 31, 2019 On loan",224254,"174cm / 5'9""","78kg / 172lbs","Right",79,"RM",7,"Jul 14, 2014","Dec 31, 2019","€17.5M","€10K","€0",335,76,72,48,76,63,370,77,72,77,68,76,437,93,90,92,77,85,394,84,65,91,73,81,327,56,49,76,77,69,68,138,65,40,33,50,11,10,9,13,7,2051,444,3,4,"High","Medium",1,"Normal (170-185)",91,76,75,79,49,74
NA,"N. BarellaCM CAM",21,79,89,"Cagliari
2014 ~ 2022",224232,"172cm / 5'8""","68kg / 150lbs","Right",78,"CM",10,"Jul 1, 2014","N/A","€20M","€30K","€38M",309,72,63,40,81,53,380,80,73,67,78,82,393,79,77,76,79,82,341,72,59,84,61,65,376,82,77,70,74,73,78,220,68,77,75,54,11,5,13,14,11,2073,441,3,3,"Medium","High",2,"Lean (170-185)",78,66,76,80,70,71
NA,"Dyego SousaST",28,79,79,"Portugal
Free",224116,"190cm / 6'3""","83kg / 183lbs","Right",78,"ST",0,"Jul 8, 2019","N/A","€0","€0","€0",359,48,83,86,64,78,276,74,46,34,45,77,280,58,53,53,77,39,402,83,74,84,86,75,323,89,25,81,53,75,68,72,23,22,27,50,15,7,12,7,9,1762,376,3,3,"High","Medium",1,"Normal (185+)",55,81,53,71,30,86
NA,"K. Toko-EkambiST CF LW",25,79,80,"Villarreal
2018 ~ 2023",224069,"185cm / 6'1""","74kg / 163lbs","Right",78,"ST",1,"Jul 2, 2018","N/A","€15M","€40K","€32.6M",370,74,81,74,69,72,340,78,62,63,58,79,396,84,83,78,76,75,368,78,71,70,77,72,285,43,28,80,65,69,77,59,27,14,18,56,10,12,12,8,14,1874,401,4,3,"High","Medium",2,"Lean (185+)",83,78,67,78,27,68
NA,"David SoriaGK",25,79,81,"Getafe
2018 ~ 2022",223952,"192cm / 6'4""","85kg / 187lbs","Right",78,"GK",2,"Jul 16, 2018","N/A","€10.5M","€20K","€22.8M",101,15,19,24,24,19,102,16,23,11,33,19,245,49,34,45,75,42,251,54,60,43,76,18,122,24,18,12,45,23,58,48,22,13,13,383,81,75,66,81,80,1252,424,3,1,"Medium","Medium",1,"Normal (185+)",81,75,66,80,41,81
NA,"MataST",29,79,79,"Getafe
2018 ~ 2021",223578,"185cm / 6'1""","79kg / 174lbs","Right",78,"ST",0,"Jul 2, 2018","N/A","€12.5M","€30K","€26.3M",353,62,82,74,63,72,302,76,55,48,49,74,347,75,76,66,84,46,371,77,66,76,81,71,307,74,19,82,56,76,76,86,29,28,29,48,12,8,10,6,12,1814,394,3,3,"High","Medium",1,"Normal (185+)",76,78,58,73,31,78
NA,"K. PiątekST",23,79,85,"Milan
2019 ~ 2023",223113,"183cm / 6'0""","77kg / 170lbs","Right",78,"ST",6,"Jan 23, 2019","N/A","€17.5M","€80K","€33.3M",346,51,85,78,64,68,283,72,60,40,35,76,369,79,78,75,76,61,383,79,81,76,78,69,294,51,31,85,52,75,69,95,33,38,24,54,10,15,10,6,13,1824,393,3,3,"Medium","Medium",1,"Normal (170-185)",78,79,53,73,38,72
NA,"H. WinksCM CDM",22,79,86,"Tottenham Hotspur
2014 ~ 2024",222400,"176cm / 5'9""","74kg / 163lbs","Right",78,"CM",7,"Jul 1, 2014","N/A","€17.5M","€80K","€35.9M",302,65,54,50,83,50,375,81,73,60,80,81,383,73,69,79,79,83,322,63,51,83,63,62,333,65,73,64,80,51,82,213,72,74,67,56,8,11,14,13,10,1984,425,3,3,"High","Medium",1,"Normal (170-185)",71,58,77,81,70,68
NA,"MarianoST",24,79,82,"Real Madrid
2018 ~ 2023",221639,"180cm / 5'11""","76kg / 168lbs","Right",78,"ST",3,"Aug 29, 2018","N/A","€16M","€130K","€34M",347,50,79,82,66,70,349,74,76,76,51,72,398,83,84,79,80,72,415,85,92,78,78,82,345,84,45,78,63,75,68,115,41,40,34,55,12,14,6,8,15,2024,424,4,3,"High","Medium",1,"Stocky (170-185)",84,80,61,74,45,80
NA,"RaúlCB",28,79,79,"Sporting Braga
2017 ~ 2022",221540,"187cm / 6'2""","81kg / 179lbs","Left",78,"CB",0,"Jul 1, 2017","N/A","€10M","€20K","€20M",307,56,50,85,67,49,254,55,37,43,62,57,289,52,51,59,75,52,366,67,85,75,85,54,317,87,80,46,53,51,75,233,77,80,76,51,10,9,7,13,12,1817,383,3,2,"Medium","High",1,"Normal (185+)",51,54,59,57,79,83
NA,"AngeliñoLB",21,79,84,"PSV
2018 ~ 2023",220651,"175cm / 5'9""","69kg / 152lbs","Left",79,"LM",5,"Jul 1, 2018","N/A","€14M","€15K","€20.7M",340,86,57,58,77,62,396,81,83,75,77,80,407,87,85,75,77,83,389,80,82,87,74,66,360,77,75,75,78,55,67,218,71,74,73,58,13,6,13,13,13,2168,459,3,4,"High","Medium",2,"Stocky (170-185)",86,64,79,80,72,78
NA,"M. DúbravkaGK",29,79,80,"Newcastle United
2018 ~ 2022",220407,"190cm / 6'3""","80kg / 176lbs","Right",78,"GK",1,"Jun 9, 2018","N/A","€10M","€40K","€19.8M",93,12,10,12,48,11,125,19,15,13,45,33,270,49,44,44,73,60,212,22,73,40,60,17,135,26,25,10,54,20,59,48,19,15,14,397,77,80,81,78,81,1280,443,2,1,"Medium","Medium",1,"Lean (185+)",77,80,81,81,46,78
NA,"J. DenayerCB",23,79,85,"Olympique Lyonnais
2018 ~ 2022",220182,"184cm / 6'0""","80kg / 176lbs","Right",78,"CB",6,"Aug 21, 2018","N/A","€14.5M","€50K","€30.5M",283,58,42,75,73,35,269,67,35,29,68,70,356,74,75,66,79,62,318,51,76,76,79,36,292,79,77,36,61,39,79,238,77,80,81,62,7,10,15,15,15,1818,404,3,2,"Medium","High",1,"Normal (170-185)",75,42,63,68,78,78
NA,"Diego CarlosCB",25,79,81,"Nantes
2016 ~ 2022",219693,"186cm / 6'1""","86kg / 190lbs","Right",78,"CB",2,"Jun 30, 2016","N/A","€13M","€30K","€25.7M",243,35,26,75,73,34,314,68,47,71,59,69,355,79,76,69,74,57,359,73,80,65,84,57,301,82,75,52,51,41,72,235,80,80,75,49,7,10,14,7,11,1856,404,4,3,"Medium","High",2,"Normal (185+)",77,44,58,68,78,79
NA,"M. DahoudCM CDM",22,79,85,"Borussia Dortmund
2017 ~ 2022",218339,"178cm / 5'10""","68kg / 150lbs","Right",78,"CM",6,"Jul 1, 2017","N/A","€17M","€50K","€32.3M",309,67,59,43,81,59,364,85,68,53,76,82,395,78,67,87,78,85,378,81,76,89,58,74,349,68,79,66,81,55,60,195,72,64,59,53,14,7,9,12,11,2043,434,4,4,"High","High",2,"Lean (170-185)",72,67,75,84,67,69
NA,"A. Saint-MaximinRW LW ST",21,79,86,"Nice
2017 ~ 2020",216388,"173cm / 5'8""","67kg / 148lbs","Right",79,"RW",7,"Aug 7, 2017","N/A","€17.5M","€30K","€37.8M",322,66,70,53,74,59,356,89,70,46,70,81,443,93,92,93,78,87,361,80,68,77,66,70,242,36,15,74,70,47,79,64,26,16,22,45,10,9,12,7,7,1833,404,4,4,"High","Low",2,"Normal (170-185)",92,71,69,86,23,63
NA,"D. ZappacostaRB RWB",26,79,80,"Chelsea
2017 ~ 2021",216150,"182cm / 6'0""","72kg / 159lbs","Right",78,"RWB",1,"Aug 31, 2017","N/A","€12M","€90K","€23.1M",352,81,59,69,74,69,351,76,74,59,68,74,378,76,81,72,76,73,368,75,67,86,68,72,345,75,76,71,64,59,73,233,76,78,79,45,11,9,8,6,11,2072,442,3,3,"High","High",2,"Lean (170-185)",79,66,72,75,76,74
NA,"A. IzzoCB",26,79,81,"Torino
2018 ~ 2023",216145,"183cm / 6'0""","78kg / 172lbs","Right",78,"CB",2,"Jul 4, 2018","N/A","€12.5M","€50K","€22.2M",236,35,19,81,63,38,240,60,26,26,63,65,347,69,69,65,78,66,321,56,76,68,77,44,244,78,80,16,33,37,76,245,81,82,82,51,12,6,10,11,12,1684,369,4,2,"Medium","Medium",1,"Normal (170-185)",69,33,48,63,81,75
NA,"M. MaignanGK",22,79,87,"Lille
2015 ~ 2022",215698,"191cm / 6'3""","89kg / 196lbs","Right",78,"GK",8,"Aug 18, 2015","N/A","€14M","€20K","€29.4M",100,18,13,17,36,16,103,22,14,16,27,24,261,47,46,39,74,55,226,19,72,39,76,20,120,17,24,14,50,15,55,45,14,12,19,390,78,77,77,76,82,1245,436,3,1,"Medium","Medium",1,"Normal (185+)",78,77,77,82,46,76
NA,"L. AlarioST",25,79,82,"Bayer 04 Leverkusen
2017 ~ 2022",215353,"184cm / 6'0""","78kg / 172lbs","Right",78,"ST",3,"Aug 31, 2017","N/A","€16M","€70K","€28.4M",358,48,84,81,69,76,294,75,49,43,48,79,358,71,73,72,71,71,376,75,90,71,78,62,319,72,22,85,65,75,74,69,22,27,20,60,8,15,7,15,15,1834,389,3,3,"High","Medium",2,"Normal (170-185)",72,77,59,76,29,76
NA,"W. BenítezGK",25,79,83,"Nice
2016 ~ 2020",215223,"191cm / 6'3""","91kg / 201lbs","Right",78,"GK",4,"Jul 1, 2016","N/A","€11.5M","€30K","€22.7M",78,12,14,13,26,13,92,15,19,17,27,14,251,48,48,43,72,40,218,25,57,42,80,14,138,28,21,18,46,25,62,54,17,20,17,389,78,79,72,79,81,1220,437,2,1,"Medium","Medium",1,"Normal (185+)",78,79,72,81,48,79
NA,"J. GbaminCDM CM CB",22,79,84,"FSV Mainz 05
2016 ~ 2023",214947,"186cm / 6'1""","83kg / 183lbs","Right",78,"CDM",5,"Jul 13, 2016","N/A","€14.5M","€30K","€27.2M",303,69,40,71,78,45,348,75,62,60,74,77,371,76,85,68,76,66,396,82,77,83,83,71,341,85,79,65,72,40,72,230,79,80,71,56,11,13,8,14,10,2045,446,3,3,"Medium","High",1,"Normal (185+)",81,56,73,75,78,83
NA,"J. LermaCDM CM",23,79,83,"AFC Bournemouth
2018 ~ 2023",213991,"179cm / 5'10""","70kg / 154lbs","Right",78,"CDM",4,"Aug 7, 2018","N/A","€14M","€60K","€27.7M",320,66,56,65,77,56,354,70,66,65,76,77,373,74,75,75,73,76,397,79,84,87,76,71,352,84,80,59,71,58,70,238,78,81,79,57,16,14,11,7,9,2091,443,4,3,"Medium","High",1,"Normal (170-185)",75,64,72,73,78,81
NA,"Ricardo HortaLM",23,79,84,"Sporting Braga
2017 ~ 2022",213516,"173cm / 5'8""","63kg / 139lbs","Right",78,"RW",5,"Jul 19, 2017","N/A","€17M","€15K","€35.3M",360,77,74,51,76,82,378,80,78,70,69,81,404,78,75,85,81,85,336,78,62,80,45,71,347,64,55,81,76,71,69,111,32,44,35,47,7,9,10,8,13,1983,407,3,3,"High","Medium",1,"Lean (170-185)",76,75,75,81,42,58
NA,"R. ZobninCDM CM LM",24,79,86,"Spartak Moskva
2016 ~ 2021",213160,"182cm / 6'0""","75kg / 165lbs","Right",79,"CDM",7,"Jul 1, 2016","N/A","€15M","€2K","€36M",340,69,65,70,81,55,373,82,65,65,79,82,366,74,78,70,79,65,351,65,63,90,66,67,338,70,75,64,72,57,77,236,81,79,76,55,10,8,13,15,9,2059,446,3,4,"High","High",1,"Lean (170-185)",76,64,75,80,78,73
NA,"N. StarkCB CDM",23,79,84,"Hertha BSC
2015 ~ 2022",212977,"190cm / 6'3""","81kg / 179lbs","Right",78,"CB",5,"Aug 24, 2015","N/A","€14.5M","€30K","€25.7M",312,54,50,84,76,48,280,65,43,35,67,70,359,74,83,65,74,63,333,63,66,70,79,55,315,74,79,52,71,39,69,237,79,81,77,60,7,15,10,15,13,1896,420,3,2,"High","Medium",1,"Normal (185+)",79,53,66,67,80,75
NA,"L. DendonckerCDM CB CM",23,79,85,"Wolverhampton Wanderers
Jun 30, 2019 On loan",212501,"189cm / 6'2""","88kg / 194lbs","Right",78,"CDM",6,"Mar 1, 2012","Jun 30, 2019","€14.5M","€60K","€0",369,75,66,78,79,71,365,70,72,71,78,74,319,61,68,59,73,58,405,86,67,89,87,76,345,74,78,73,76,44,75,230,76,78,76,56,14,8,14,14,6,2089,445,4,2,"High","High",2,"Normal (185+)",65,72,77,70,77,84
NA,"O. VlachodimosGK",24,79,85,"Benfica
2018 ~ 2023",211990,"188cm / 6'2""","77kg / 170lbs","Right",78,"GK",6,"Jul 1, 2018","N/A","€12.5M","€10K","€27.5M",81,15,12,13,27,14,90,13,17,13,24,23,264,42,44,60,80,38,216,19,74,39,68,16,127,32,23,14,40,18,46,37,11,14,12,382,83,72,67,75,85,1197,425,3,1,"Medium","Medium",1,"Lean (185+)",83,72,67,85,43,75
NA,"M. DembéléST",21,79,84,"Olympique Lyonnais
2018 ~ 2023",211591,"183cm / 6'0""","74kg / 163lbs","Right",78,"ST",5,"Aug 31, 2018","N/A","€17M","€50K","€34.6M",343,50,79,74,71,69,306,75,69,35,48,79,383,79,84,77,75,68,387,80,81,74,86,66,328,75,22,81,68,82,76,69,39,14,16,49,7,13,11,10,8,1865,405,3,4,"High","Medium",1,"Normal (170-185)",82,76,61,76,29,81
NA,"Rubén PeñaRB RM",26,79,79,"SD Eibar
2016 ~ 2021",211241,"170cm / 5'7""","65kg / 143lbs","Right",79,"RW",0,"Jul 1, 2016","N/A","€10.5M","€30K","€22.1M",367,81,71,72,77,66,344,82,59,56,66,81,419,83,88,83,78,87,360,75,72,83,64,66,342,63,72,78,65,64,72,225,68,78,79,54,7,11,10,16,10,2111,453,3,4,"High","Low",1,"Lean (170-)",86,71,72,82,73,69
NA,"JonnyLWB",24,79,83,"Wolverhampton Wanderers
2019 ~ 2023",210455,"170cm / 5'7""","70kg / 154lbs","Right",78,"LWB",4,"Jan 31, 2019","N/A","€13.5M","€60K","€26.7M",309,78,43,70,74,44,326,74,62,54,59,77,377,77,78,72,72,78,335,68,75,83,64,45,339,82,80,65,66,46,73,239,77,80,82,45,7,10,12,10,6,1970,423,3,4,"High","High",2,"Normal (170-)",78,50,69,75,78,73
NA,"J. HofmannCAM RM LM",25,79,80,"Borussia Mönchengladbach
2016 ~ 2023",210324,"176cm / 5'9""","70kg / 154lbs","Right",78,"RM",1,"Jan 1, 2016","N/A","€15M","€30K","€26.6M",331,81,69,40,79,62,371,80,69,71,72,79,388,78,76,78,79,77,339,68,61,82,60,68,323,43,57,78,77,68,71,133,49,44,40,42,6,6,10,10,10,1927,411,4,3,"Medium","Medium",2,"Lean (170-185)",77,69,77,79,47,62
NA,"Y. BounouGK",27,79,82,"Girona
2016 ~ 2021",209981,"192cm / 6'4""","78kg / 172lbs","Left",78,"GK",3,"Jul 12, 2016","N/A","€10.5M","€30K","€22.8M",95,15,14,14,39,13,107,20,12,19,44,12,216,37,34,38,78,29,204,25,48,43,69,19,131,25,12,10,60,24,57,53,20,18,15,387,76,79,77,77,78,1193,422,3,1,"Medium","Medium",1,"Lean (185+)",76,79,77,78,35,77
NA,"M. DabburST",26,79,80,"Salzburg
2016 ~ 2021",208498,"182cm / 6'0""","76kg / 168lbs","Right",78,"ST",1,"Jun 9, 2016","N/A","€15M","€50K","€23.6M",358,50,82,80,73,73,357,76,74,66,63,78,377,74,76,77,79,71,390,76,89,81,78,66,283,39,19,84,67,74,76,86,22,37,27,61,13,12,10,15,11,1912,398,4,4,"Medium","Low",2,"Normal (170-185)",75,77,65,77,32,72
NA,"J. HectorLB CDM",28,79,79,"FC Köln
2012 ~ 2023",208334,"185cm / 6'1""","75kg / 165lbs","Left",79,"LB",0,"Feb 25, 2012","N/A","€10M","€30K","€15M",334,79,55,71,78,51,355,74,65,65,74,77,366,75,77,67,80,67,354,69,66,82,76,61,351,71,81,62,72,65,78,234,76,79,79,55,9,10,10,12,14,2049,439,3,3,"Medium","Medium",3,"Normal (185+)",76,60,75,74,78,76
NA,"A. JanuzajRW RM",23,79,85,"Real Sociedad
2017 ~ 2022",208330,"186cm / 6'1""","76kg / 168lbs","Left",79,"CAM",6,"Jul 12, 2017","N/A","€17.5M","€30K","€40.3M",341,82,71,42,79,67,386,85,80,65,74,82,392,84,76,85,76,71,333,74,61,68,59,71,293,41,36,76,80,60,74,74,30,22,22,55,15,10,11,12,7,1874,399,4,4,"Medium","Low",1,"Lean (185+)",80,71,78,83,29,58
NA,"GabrielCM CDM",24,79,83,"Benfica
2018 ~ 2023",208141,"187cm / 6'2""","82kg / 181lbs","Left",78,"CM",4,"Aug 27, 2018","N/A","€16M","€15K","€33.2M",351,68,67,75,78,63,389,81,74,73,79,82,326,67,51,65,76,67,410,83,81,83,82,81,378,84,76,73,78,67,76,225,75,77,73,64,12,8,14,15,15,2143,445,5,3,"Medium","High",1,"Stocky (185+)",58,73,76,79,76,83
NA,"G. PizarroCDM CM",28,79,79,"Tigres UANL
2018 ~ 2021",207939,"185cm / 6'1""","74kg / 163lbs","Right",78,"CDM",0,"Jul 2, 2018","N/A","€10M","€60K","€16M",330,62,59,68,79,62,336,69,66,54,73,74,291,62,52,62,71,44,378,69,74,90,80,65,365,87,80,67,71,60,75,230,74,80,76,57,7,12,16,15,7,1987,421,3,3,"Medium","High",1,"Lean (185+)",57,63,71,69,77,84
NA,"R. FraserLM",24,79,82,"AFC Bournemouth
2013 ~ 2020",207807,"163cm / 5'4""","70kg / 154lbs","Right",79,"RW",3,"Jan 1, 2013","N/A","€16M","€60K","€31.6M",324,79,75,30,76,64,377,82,81,68,68,78,439,90,87,94,72,96,332,71,60,78,50,73,325,65,45,75,77,63,79,140,45,53,42,61,15,14,15,7,10,1998,425,4,3,"High","Medium",1,"Stocky (170-)",88,73,75,82,46,61
NA,"RogerST",27,79,79,"Levante
2011 ~ 2023",207732,"179cm / 5'10""","74kg / 163lbs","Right",78,"ST",0,"Jul 1, 2011","N/A","€13.5M","€30K","€28.4M",370,66,82,72,72,78,298,76,48,46,52,76,388,78,79,78,75,78,373,80,75,72,74,72,328,65,35,83,65,80,70,111,44,36,31,65,15,13,15,14,8,1933,411,3,3,"High","Medium",2,"Normal (170-185)",79,79,64,76,41,72
NA,"M. KeaneCB",25,79,82,"Everton
2017 ~ 2022",207599,"191cm / 6'3""","82kg / 181lbs","Right",78,"CB",3,"Jul 3, 2017","N/A","€13.5M","€80K","€26.7M",302,60,50,81,71,40,290,66,53,33,69,69,319,58,65,59,75,62,339,58,82,68,85,46,281,68,80,29,56,48,71,239,78,81,80,56,16,7,8,14,11,1826,397,3,2,"Medium","High",2,"Normal (185+)",62,49,63,66,80,77
NA,"L. TrossardLW",23,79,83,"Genk
2012 ~ 2021",207421,"172cm / 5'8""","67kg / 148lbs","Right",79,"RW",4,"Jan 1, 2012","N/A","€16.5M","€20K","€26M",370,75,80,64,75,76,382,83,81,69,68,81,416,91,76,92,70,87,384,77,89,73,60,85,286,47,18,75,71,75,84,79,30,31,18,47,14,8,11,7,7,1964,411,4,4,"High","Medium",1,"Lean (170-185)",83,80,73,83,30,62
NA,"M. ArnoldCM CDM CAM",24,79,83,"VfL Wolfsburg
2011 ~ 2022",206511,"184cm / 6'0""","74kg / 163lbs","Left",78,"CM",4,"Oct 10, 2011","N/A","€16M","€40K","€28.4M",366,70,77,54,80,85,388,78,77,75,78,80,346,66,64,71,78,67,370,87,52,77,67,87,348,66,75,75,75,57,77,212,75,71,66,51,11,9,11,10,10,2081,438,2,3,"High","High",2,"Normal (170-185)",65,80,76,77,71,69
NA,"D. CheryshevLM LW",27,79,79,"Valencia
Jun 30, 2019 On loan",206225,"179cm / 5'10""","74kg / 163lbs","Left",78,"LW",0,"Jul 1, 2016","Jun 30, 2019","€13M","€40K","€0",358,85,78,54,72,69,368,79,76,61,74,78,385,78,79,76,78,74,380,81,75,73,67,84,341,62,62,75,78,64,70,160,47,58,55,52,16,7,14,7,8,2044,435,4,3,"High","Low",2,"Lean (170-185)",79,79,76,78,55,68
NA,"D. BaselliCM",26,79,80,"Torino
2015 ~ 2022",205407,"182cm / 6'0""","70kg / 154lbs","Right",79,"CAM",1,"Jul 10, 2015","N/A","€14.5M","€50K","€25.7M",360,74,67,64,82,73,395,82,79,73,78,83,377,75,73,79,75,75,372,76,69,79,67,81,359,65,68,75,80,71,74,195,67,65,63,49,11,12,13,7,6,2107,443,3,4,"High","Medium",2,"Lean (170-185)",74,73,79,81,66,70
NA,"K. RekikCB",23,79,83,"Hertha BSC
2017 ~ 2021",205193,"186cm / 6'1""","79kg / 174lbs","Left",78,"CB",4,"Jul 1, 2017","N/A","€14M","€30K","€24.9M",264,43,33,78,75,35,262,57,35,35,68,67,340,66,69,65,76,64,318,60,77,70,80,31,298,85,74,41,57,41,71,244,78,81,85,55,9,9,14,14,9,1781,386,2,2,"Medium","High",1,"Normal (185+)",68,39,60,62,79,78
NA,"Denis SuárezCM LW RW",24,79,83,"Arsenal
Jun 30, 2019 On loan",205192,"176cm / 5'9""","69kg / 152lbs","Right",80,"CAM",4,"Jul 4, 2016","Jun 30, 2019","€16M","€90K","€0",343,77,72,44,82,68,398,84,82,70,78,84,394,77,77,82,82,76,335,75,58,72,57,73,329,47,62,76,81,63,70,170,69,59,42,48,10,14,10,7,7,2017,430,3,3,"Medium","Medium",2,"Lean (170-185)",77,72,80,83,59,59
NA,"BernatLB LM",25,79,82,"Paris Saint Germain
2018 ~ 2021",205069,"170cm / 5'7""","67kg / 148lbs","Left",80,"LM",3,"Aug 31, 2018","N/A","€13M","€70K","€25M",334,80,60,53,82,59,371,84,78,51,73,85,415,81,80,86,80,88,332,62,73,80,55,62,356,71,75,79,78,53,79,226,71,78,77,56,8,9,12,11,16,2090,442,3,4,"High","Medium",2,"Normal (170-)",80,61,78,85,73,65
NA,"Mário RuiLB",27,79,79,"Napoli
2018 ~ 2022",204614,"170cm / 5'7""","67kg / 148lbs","Left",79,"LWB",0,"Jan 6, 2018","N/A","€10.5M","€60K","€17.9M",295,79,27,60,76,53,361,79,68,66,72,76,426,88,83,88,78,89,379,69,92,91,54,73,333,73,77,59,64,60,73,223,71,76,76,49,13,5,9,8,14,2066,428,3,3,"High","Medium",2,"Lean (170-)",85,49,73,79,73,69
NA,"K. ZoumaCB",23,79,83,"Everton
Jun 30, 2019 On loan",204311,"190cm / 6'3""","96kg / 212lbs","Right",78,"CB",4,"Jan 31, 2014","Jun 30, 2019","€14M","€80K","€0",285,49,47,79,63,47,295,50,60,59,63,63,300,60,70,44,74,52,355,63,89,63,91,49,332,83,78,53,59,59,67,235,78,78,79,59,14,14,7,9,15,1861,392,3,2,"Medium","Medium",2,"Normal (185+)",66,52,59,55,78,82
NA,"Roque MesaCM CDM",29,79,79,"Sevilla
2018 ~ 2021",204277,"171cm / 5'7""","74kg / 163lbs","Right",79,"CDM",0,"Jul 2, 2018","N/A","€12M","€20K","€25.2M",285,69,65,32,82,37,335,76,50,51,78,80,394,74,75,76,80,89,360,66,77,88,72,57,356,86,78,69,78,45,80,226,75,75,76,50,15,8,7,11,9,2006,439,3,3,"Medium","High",2,"Stocky (170-185)",75,61,75,78,71,79
NA,"S. AriasRB",26,79,80,"Atlético Madrid
2018 ~ 2023",204259,"178cm / 5'10""","72kg / 159lbs","Right",78,"RB",1,"Jul 31, 2018","N/A","€12M","€50K","€25.5M",309,74,51,67,74,43,309,74,31,54,73,77,401,84,86,78,76,77,347,56,82,90,69,50,344,79,75,70,64,56,76,229,74,78,77,66,14,7,14,15,16,2005,435,3,3,"High","Medium",2,"Normal (170-185)",85,53,69,76,75,77
NA,"K. LalaRWB",26,79,80,"Strasbourg
2017 ~ 2021",204105,"178cm / 5'10""","78kg / 172lbs","Right",78,"RWB",1,"Jun 12, 2017","N/A","€12M","€20K","€24.9M",303,82,46,64,75,36,383,79,76,73,77,78,372,78,80,67,77,70,342,67,70,82,72,51,382,79,77,77,71,78,70,222,74,74,74,48,14,6,7,6,15,2052,436,3,3,"High","Medium",1,"Normal (170-185)",79,54,76,77,74,76
NA,"J. BrooksCB",25,79,83,"VfL Wolfsburg
2017 ~ 2022",204082,"193cm / 6'4""","78kg / 172lbs","Left",78,"CB",4,"Jul 1, 2017","N/A","€13.5M","€40K","€24M",262,36,39,82,73,32,259,65,30,28,72,64,323,66,76,57,73,51,296,50,72,61,84,29,294,75,77,40,57,45,81,237,79,82,76,44,8,7,10,9,10,1715,389,3,2,"Medium","High",2,"Normal (185+)",72,39,58,64,80,76
NA,"N. PopeGK",26,79,82,"Burnley
2016 ~ 2023",203841,"200cm / 6'7""","76kg / 168lbs","Right",78,"GK",3,"Jul 20, 2016","N/A","€11M","€50K","€21.7M",82,11,14,11,32,14,99,15,13,12,35,24,248,50,47,36,70,45,214,17,72,37,73,15,135,36,21,13,43,22,62,43,14,15,14,391,78,80,74,80,79,1212,439,3,1,"Medium","Medium",1,"Lean (185+)",78,80,74,79,48,80
NA,"L. KariusGK",25,79,83,"Beşiktaş
May 31, 2020 On loan",203775,"189cm / 6'2""","87kg / 192lbs","Right",78,"GK",4,"Jul 1, 2016","May 31, 2020","€11.5M","€40K","€0",98,14,18,14,38,14,106,16,12,14,41,23,278,55,54,51,75,43,210,20,74,36,64,16,111,21,13,8,50,19,60,33,9,11,13,392,82,74,78,76,82,1228,446,3,1,"Medium","Medium",2,"Normal (185+)",82,74,78,82,54,76
NA,"Zé LuísST",27,79,79,"Spartak Moskva
2015 ~ 2021",203757,"184cm / 6'0""","88kg / 194lbs","Left",78,"ST",0,"Jul 7, 2015","N/A","€13.5M","€2K","€29.7M",344,45,74,83,67,75,325,80,66,54,44,81,366,80,81,64,80,61,386,79,92,68,83,64,333,76,29,78,75,75,72,79,36,19,24,59,8,11,16,10,14,1892,403,4,4,"Medium","Medium",1,"Normal (170-185)",81,73,60,78,33,78
NA,"J. VestergaardCB",25,79,80,"Southampton
2018 ~ 2022",202849,"199cm / 6'6""","98kg / 216lbs","Right",78,"CB",1,"Jul 13, 2018","N/A","€12.5M","€50K","€24.7M",260,46,34,85,67,28,275,45,41,52,80,57,202,35,36,29,74,28,306,83,33,54,89,47,348,84,83,46,60,75,77,237,77,83,77,63,16,11,11,15,10,1691,351,4,2,"Medium","Medium",2,"Normal (185+)",36,49,61,48,81,76
