"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Heading.accuracy","Long.passing","Ball.control","Total.movement","Jumping","Stamina","Strength","Total.mentality","Total.defending"
"Vallejo",21,77,83,2,"Defender",10500000,80000,2,74,73,67,359,77,57,69,263,236
"J. Andersen",22,77,85,3,"Defender",11500000,30000,2,76,66,63,312,77,63,83,269,232
"R. Bensebaini",23,77,81,1,"Defender",9500000,30000,3,75,64,78,332,80,78,79,325,232
"S. Lainer",25,77,78,3,"Defender",8500000,30000,3,64,70,71,396,68,90,72,325,219
"Jorge Meré",21,77,85,4,"Defender",11500000,15000,2,78,62,69,354,81,67,72,275,231
"H. Hateboer",24,77,80,1,"Defender",11500000,20000,3,73,70,78,375,74,86,68,328,227
"G. Maripán",24,77,81,2,"Defender",1e+07,20000,2,75,51,57,228,68,56,92,230,229
"Wendell",24,77,80,2,"Defender",9500000,40000,4,53,65,78,396,68,77,64,367,227
"K. Tete",22,77,82,2,"Defender",1e+07,40000,2,74,64,69,364,77,77,76,321,241
"R. Saravia",25,77,80,3,"Defender",9e+06,20000,3,59,68,74,403,82,91,70,343,221
"L. Sigali",31,77,77,2,"Defender",6e+06,20000,2,79,36,58,317,90,52,77,279,240
"F. Fabra",27,77,77,4,"Defender",7500000,20000,3,67,57,76,405,86,89,81,324,217
"C. Salcedo",24,77,81,1,"Defender",1e+07,40000,2,73,65,65,322,75,75,80,271,232
"Diego Llorente",24,77,82,3,"Defender",1e+07,20000,2,76,72,73,333,79,72,75,302,231
"A. Djiku",23,77,83,3,"Defender",10500000,20000,2,73,61,72,355,81,75,77,311,228
"D. Kohr",24,77,80,2,"Defender",9500000,40000,3,69,68,76,347,80,79,77,331,232
"P. Max B",24,77,80,3,"Defender",9500000,20000,3,59,74,77,392,66,85,66,316,215
"Douglas Santos",24,77,81,2,"Defender",9500000,15000,3,60,64,77,393,71,79,50,333,224
"Emerson",23,77,81,3,"Defender",9500000,70000,3,60,66,80,385,67,74,52,324,223
"K. Mbabu",23,77,83,1,"Defender",1e+07,20000,3,65,65,74,401,78,91,83,320,219
"F. Schär",26,77,80,2,"Defender",9e+06,40000,2,79,75,70,319,88,72,77,363,230
"C. Hérelle",25,77,80,3,"Defender",9500000,30000,2,80,68,68,325,78,75,73,292,234
"J. Veltman",26,77,78,1,"Defender",8500000,15000,2,73,73,72,343,72,80,75,316,237
"T. Strobl",28,77,77,1,"Defender",7e+06,30000,2,69,79,58,275,70,73,78,331,237
"Marçal",29,77,77,2,"Defender",6500000,50000,3,58,69,76,380,73,80,71,337,231
"J. Lukaku",23,77,80,3,"Defender",11500000,40000,4,62,66,80,417,74,76,84,333,212
"S. Ristovski",26,77,78,3,"Defender",8500000,15000,3,65,68,76,402,80,84,72,335,225
"T. Chandler B  B",28,77,77,1,"Defender",7e+06,30000,2,74,73,73,333,69,79,82,327,232
"Naldo",29,77,77,1,"Defender",7e+06,30000,2,77,60,55,256,76,66,78,255,235
"C. Piccini B",25,77,79,3,"Defender",9e+06,30000,3,66,62,74,362,70,78,78,310,232
"E. Bičakčić",28,77,77,3,"Defender",7e+06,30000,2,75,59,58,303,65,61,84,278,228
"M. DohertyB",26,77,78,4,"Defender",8500000,60000,3,62,69,75,362,82,91,73,335,221
"Pablo",27,77,78,2,"Defender",8500000,40000,2,77,51,59,318,72,68,81,306,234
"Cédric B",26,77,77,NA,"Defender",7500000,50000,3,65,69,76,390,72,86,62,345,224
"L. Tonelli",28,77,78,NA,"Defender",8e+06,30000,2,74,54,58,361,80,61,73,251,239
"C. Schindler",28,77,78,2,"Defender",8e+06,50000,2,74,64,68,314,74,68,78,291,234
"Bruno",28,77,78,1,"Defender",8e+06,20000,2,80,68,67,218,65,68,87,271,228
"Arbilla",31,77,77,2,"Defender",6e+06,20000,2,72,75,76,327,81,74,78,322,227
"R. Funes Mori",27,77,78,3,"Defender",8500000,30000,2,79,62,69,322,77,74,78,319,226
"K. Malcuit",26,77,77,3,"Defender",7500000,50000,3,65,71,75,392,72,77,76,335,225
"Montoya",27,77,77,3,"Defender",7500000,40000,3,62,69,74,389,75,83,68,323,222
"Laguardia",28,77,78,3,"Defender",8e+06,20000,2,73,57,58,293,78,76,80,287,233
"P. Jansson",27,77,79,3,"Defender",8500000,40000,2,74,59,66,282,54,71,90,272,229
"N. Pejčinović",30,77,77,1,"Defender",6500000,15000,2,80,61,63,295,89,71,80,282,226
"L. Cabrera",26,77,79,2,"Defender",9e+06,20000,2,79,63,62,312,91,76,82,284,232
"Juanpe",27,77,78,3,"Defender",8500000,30000,2,81,60,70,244,70,71,78,277,224
"M. Plattenhardt",26,77,78,4,"Defender",8500000,30000,3,60,69,78,367,72,76,73,329,231
"J. Kucka",31,77,77,3,"Defender",7500000,40000,3,75,76,75,336,90,87,90,378,232
"Alcalá",29,77,77,2,"Defender",7e+06,30000,2,76,66,64,215,62,67,91,264,228
"S. Aziz",27,77,79,3,"Defender",8500000,50000,2,78,66,60,345,82,74,79,264,225
"A. Dragović",27,77,77,2,"Defender",7500000,50000,2,76,62,66,340,80,68,80,347,230
"M. Schmelzer",30,77,77,2,"Defender",6500000,40000,2,68,63,69,357,75,81,74,311,233
"D. Janmaat",28,77,77,1,"Defender",7e+06,50000,3,71,69,79,347,69,85,70,354,223
"V. Vasin",29,77,77,2,"Defender",7e+06,1000,2,84,64,63,284,79,70,86,299,223
"B. Espinosa",28,77,77,2,"Defender",7e+06,30000,2,78,61,67,245,80,61,84,290,225
"M. Lang",27,77,77,3,"Defender",7500000,30000,3,80,73,74,331,80,85,79,325,230
"K. Papadopoulos",26,77,78,1,"Defender",8500000,15000,2,87,50,52,294,91,52,90,281,234
"A. Ogbonna",30,77,77,3,"Defender",6500000,60000,2,77,67,59,304,74,64,80,274,237
"N. Subotić",29,77,77,0,"Defender",7e+06,30000,2,81,66,52,278,73,68,78,292,241
"Yuri Berchiche",28,77,77,3,"Defender",7e+06,20000,3,72,68,75,380,85,82,77,319,229
"P. Aguilar",31,77,77,2,"Defender",6e+06,20000,2,82,62,62,320,91,64,80,302,223
"S. De Maio",31,77,77,NA,"Defender",6e+06,30000,2,72,54,54,306,83,63,92,251,238
"M. Suchý",30,77,77,0,"Defender",6500000,30000,2,77,70,65,332,79,80,84,292,230
"Varela",30,77,77,3,"Defender",6500000,2000,2,76,51,62,339,82,75,87,306,226
"M. Layún",30,77,77,2,"Defender",6500000,40000,3,63,74,76,376,75,73,66,367,226
"P. Diop",32,77,77,1,"Defender",5e+06,20000,3,73,73,76,311,79,76,88,353,225
"S. Tasci",31,77,77,1,"Defender",6e+06,20000,3,82,78,71,325,81,43,78,287,230
"F. Lustenberger",30,77,77,0,"Defender",6500000,30000,2,71,67,70,324,85,68,68,303,238
"I. Abate",31,77,77,4,"Defender",6e+06,70000,3,68,72,75,388,75,76,69,341,227
"D. Basta",33,77,77,4,"Defender",3400000,40000,3,72,74,77,362,70,77,69,331,226
"Danilo",34,77,77,NA,"Defender",2700000,30000,2,72,66,60,281,76,42,69,276,241
"A. Granqvist",33,77,77,NA,"Defender",0,0,2,78,67,61,239,58,58,85,343,233
"R. Civelli",34,77,77,1,"Defender",2700000,15000,2,85,59,67,223,72,66,94,312,223
"G. Clichy",32,77,77,1,"Defender",4900000,20000,4,68,73,76,381,70,82,66,302,226
"Iván Ramis",33,77,77,1,"Defender",3600000,20000,2,76,72,70,240,76,67,90,323,229
"O. Wendt",32,77,77,1,"Defender",4900000,30000,3,64,74,78,371,68,76,67,359,224
"R. Klavan",32,77,77,1,"Defender",5e+06,30000,2,78,73,70,283,74,55,74,296,235
"F. Benković",20,76,85,NA,"Defender",10500000,30000,2,76,72,62,293,76,75,86,290,223
"L. López",28,76,76,NA,"Defender",6e+06,20000,2,79,56,62,322,84,55,77,279,227
"D. Reyes",25,76,79,NA,"Defender",8e+06,20000,2,78,68,74,324,70,66,69,289,233
"Balenziaga",30,76,76,2,"Defender",5500000,20000,3,71,69,74,363,78,85,71,312,220
"S. Langkamp",30,76,76,1,"Defender",5500000,20000,2,82,57,47,276,65,53,83,245,238
"R. Knoche",26,76,79,1,"Defender",8e+06,40000,2,79,69,57,271,67,61,78,260,230
"Dalbert",24,76,79,4,"Defender",8e+06,40000,3,60,68,75,400,59,80,67,322,220
"M. Casco",30,76,76,3,"Defender",5500000,20000,3,62,67,73,410,80,92,72,342,212
"D. D'Ambrosio",29,76,76,2,"Defender",6e+06,50000,3,71,64,72,364,78,76,68,331,234
"G. Conti",23,76,82,4,"Defender",9e+06,10000,2,77,63,53,304,70,68,78,280,232
"Ó. Duarte",29,76,76,0,"Defender",6e+06,30000,2,78,57,59,291,79,61,73,259,233
"N. Araújo",26,76,78,4,"Defender",7500000,20000,2,78,66,69,325,66,72,85,268,229
"D. Santon",27,76,76,3,"Defender",6500000,50000,3,65,69,75,339,74,74,68,334,228
"F. Benković",20,76,85,NA,"Defender",10500000,30000,2,76,72,62,293,76,75,86,290,223
"Juan Jesus",27,76,76,1,"Defender",6500000,50000,2,74,56,55,351,88,75,77,270,229
"M. Fellaini",30,76,76,2,"Defender",7e+06,20000,3,92,66,80,262,70,79,92,385,215
"Alexo Baia",30,76,76,2,"Defender",5500000,30000,3,66,74,71,379,65,80,61,329,230
"T. Jantschke",28,76,76,2,"Defender",6e+06,30000,2,66,70,68,345,82,74,71,318,233
"L. Magallán",24,76,79,4,"Defender",8e+06,15000,2,75,56,62,315,90,78,82,283,223
"E. Mangala",27,76,78,1,"Defender",7500000,80000,2,77,56,50,310,86,64,87,294,230
"Carles Planas B",27,76,76,1,"Defender",6500000,30000,3,68,58,75,366,84,74,76,319,218
"Y. Zhirkov",34,76,76,NA,"Defender",0,0,4,57,72,77,368,54,75,67,372,232
"M. Darmian",28,76,76,1,"Defender",6e+06,90000,3,68,66,75,373,68,71,64,321,234
"Rubén Duarte",22,76,81,4,"Defender",8500000,20000,2,74,55,73,349,60,74,71,258,236
"P. van Aanholt",27,76,76,2,"Defender",6500000,40000,3,61,74,76,403,90,83,65,333,223
"E. Mena",29,76,76,3,"Defender",6e+06,20000,3,50,64,73,380,74,78,67,353,225
"Juli Freitinho",30,76,76,2,"Defender",5500000,15000,2,77,43,63,227,58,57,91,320,231
"T. Kolodziejczak",26,76,77,NA,"Defender",7500000,30000,2,74,67,65,350,79,79,80,325,227
"G. Gönül",33,76,76,1,"Defender",3e+06,40000,3,60,68,75,391,78,77,65,364,225
"Eltildo Correia",26,76,76,2,"Defender",6500000,30000,2,73,75,55,267,81,68,83,315,231
"C. Clark",28,76,77,2,"Defender",7e+06,40000,2,79,60,58,283,71,63,76,310,231
"S. Widmer",25,76,78,3,"Defender",7500000,20000,3,70,72,76,374,81,87,78,329,218
"D. Chygrynskyi",31,76,76,1,"Defender",5e+06,2000,2,76,72,58,253,60,63,87,283,230
"W. Anton",21,76,83,2,"Defender",9500000,20000,3,74,69,69,319,71,72,78,308,230
"Rúben Vezo",24,76,81,NA,"Defender",8500000,20000,2,73,66,64,356,82,69,76,295,231
"H. Nordtveit",28,76,77,NA,"Defender",7e+06,50000,2,77,77,71,296,68,73,78,329,227
"J. Palomino",28,76,76,1,"Defender",6e+06,20000,2,77,60,64,278,33,72,86,260,230
"H. Badstuber",29,76,76,2,"Defender",6e+06,30000,2,78,75,67,235,58,47,76,328,232
"Eric Botteghin",30,76,76,1,"Defender",5500000,15000,2,82,62,60,204,77,64,90,247,222
"E. N'Dicka",18,76,86,4,"Defender",1e+07,10000,2,77,65,65,316,72,67,79,297,231
"D. Brosinski B",29,76,76,1,"Defender",6e+06,30000,3,66,73,71,388,76,79,62,352,222
"Wallace",23,76,80,2,"Defender",8500000,30000,2,77,50,52,295,71,54,81,261,228
"D. Heintz",24,76,78,3,"Defender",8e+06,20000,2,76,70,63,292,60,68,86,272,229
"T. Jedvaj",22,76,83,4,"Defender",9500000,40000,2,74,60,66,341,82,69,75,290,227
"Pedro Henrique",25,76,79,3,"Defender",8e+06,10000,2,74,40,62,257,37,76,90,267,229
"N. Pareja",34,76,76,0,"Defender",2300000,20000,2,78,75,76,244,68,32,71,328,225
"Rafael Cachoira",30,76,76,2,"Defender",5500000,20000,2,73,76,62,280,51,61,83,277,232
"S. Bocchetti",31,76,76,1,"Defender",5e+06,2000,2,77,66,65,332,82,62,86,283,226
"D. Dumfries",22,76,81,4,"Defender",8500000,10000,3,73,65,70,356,83,88,87,314,218
"S. Bamba",33,76,76,1,"Defender",3100000,40000,2,75,53,58,243,66,56,89,244,226
"É. Balanta",25,76,80,1,"Defender",8500000,20000,2,75,76,71,324,70,80,86,289,218
"B. Engels",23,76,83,2,"Defender",9500000,15000,2,79,73,64,278,74,71,79,294,222
"M. Ngadeu-Ngadjui",27,76,78,1,"Defender",7500000,1000,2,72,67,66,340,72,69,92,296,223
"Y. Sabaly",25,76,77,2,"Defender",7500000,30000,3,55,59,74,384,64,77,67,302,227
"F. Guilbert",23,76,82,NA,"Defender",9e+06,20000,3,74,64,71,346,80,78,76,302,230
"A. Ranocchia",30,76,76,2,"Defender",5500000,50000,2,77,65,66,210,74,61,78,270,231
"T. Baumgartl",22,76,81,3,"Defender",8500000,20000,2,74,69,63,303,71,67,81,268,236
"F. Bustos",22,76,83,3,"Defender",9e+06,15000,4,58,55,77,391,56,88,64,318,218
"P. Jagielka",35,76,76,0,"Defender",1800000,50000,2,77,66,60,269,78,33,76,295,230
"S. Kverkvelia",26,76,79,2,"Defender",8e+06,1000,2,71,66,42,292,71,82,86,268,231
"W. Reid",29,76,76,4,"Defender",6e+06,60000,2,79,59,54,282,72,53,81,300,230
"F. Roncaglia",31,76,76,NA,"Defender",5e+06,30000,2,70,81,69,337,80,67,75,298,232
"Rafinha",32,76,76,0,"Defender",4300000,50000,3,43,64,78,379,53,69,53,347,232
"G. Cabral",32,76,76,0,"Defender",4400000,20000,2,79,59,61,270,86,67,78,296,227
"N. Viergever",28,76,76,3,"Defender",6e+06,15000,2,73,69,67,344,76,85,74,310,226
"Kiko Femenía",27,76,76,2,"Defender",6500000,40000,3,52,54,78,393,69,77,65,342,227
"A. Smith",27,76,76,2,"Defender",6500000,50000,3,64,63,74,364,49,76,65,325,230
"Miguel Lopes",31,76,76,1,"Defender",5e+06,15000,3,65,65,72,358,71,86,75,333,222
"Júnior Caiçara",29,76,76,2,"Defender",6e+06,20000,3,55,74,75,400,69,81,52,360,224
"C. Biraghi",25,76,77,3,"Defender",7500000,40000,3,65,69,71,374,70,77,69,327,225
"Aritz Elustondo",24,76,80,3,"Defender",8500000,20000,2,78,43,75,340,73,74,70,267,226
"K. Ayhan",23,76,79,2,"Defender",8e+06,20000,3,70,71,70,334,83,68,77,317,226
"A. Cresswell",28,76,76,2,"Defender",6e+06,60000,3,64,69,74,378,86,74,62,335,229
"W. Morgan",34,76,76,1,"Defender",2300000,50000,2,79,47,61,203,76,42,88,258,229
"C. Kouyaté",28,76,76,3,"Defender",6e+06,50000,3,79,64,73,338,77,88,84,348,226
"M. Diakhaby",21,76,82,4,"Defender",9e+06,20000,2,83,52,60,276,81,73,82,293,222
"Aday BenítezB B",30,76,76,2,"Defender",5500000,30000,3,63,62,80,362,35,79,55,319,220
"K. Tierney B",21,76,86,4,"Defender",10500000,30000,3,59,66,73,403,69,88,76,323,219
"S. Denswil",25,76,80,1,"Defender",8500000,20000,3,76,70,68,285,55,64,85,321,228
"S. Gigot",24,76,81,3,"Defender",8500000,2000,2,73,71,63,322,63,73,83,301,225
"P. Zabaleta",33,76,76,1,"Defender",3e+06,60000,3,74,64,75,311,79,68,73,366,240
"Mexer",29,76,76,0,"Defender",6e+06,30000,2,75,55,69,317,77,75,79,288,222
"J. Gnagnon",21,76,83,4,"Defender",9500000,10000,2,76,47,69,294,84,65,90,266,223
"M. Jørgensen",28,76,77,1,"Defender",7e+06,40000,2,76,62,64,320,76,68,83,298,224
"L. Augustinsson",24,76,81,3,"Defender",8500000,20000,3,56,75,75,376,69,89,65,339,222
"R. Holding",22,76,83,3,"Defender",9500000,60000,2,75,61,67,314,75,68,76,284,231
"M. Lowton",29,76,76,2,"Defender",6e+06,50000,2,73,72,74,353,77,79,73,341,230
"BarragánB",31,76,76,1,"Defender",5e+06,20000,3,74,63,73,353,71,77,74,329,225
"Toño García",28,76,76,4,"Defender",6e+06,20000,3,49,66,76,397,66,82,64,332,216
"Raúl Navas",30,76,76,1,"Defender",5500000,20000,2,78,56,73,270,77,50,75,282,231
"A. Hegazi",27,76,77,3,"Defender",7500000,30000,2,77,54,63,265,75,73,85,245,230
"T. Gebre Selassie",31,76,76,1,"Defender",5e+06,20000,3,80,69,77,363,89,81,67,331,215
"T. Kongolo",24,76,81,3,"Defender",8500000,30000,2,73,65,70,346,90,67,79,286,231
"C. Cathcart",29,76,76,4,"Defender",6e+06,50000,2,76,64,59,271,69,62,78,261,233
"B. Henrichs",21,76,84,4,"Defender",9500000,40000,4,59,66,77,382,65,75,68,324,213
"Victildinho",34,76,76,2,"Defender",2200000,15000,3,68,71,77,386,51,77,61,332,227
"M. Çelik",21,76,85,4,"Defender",1e+07,20000,3,65,67,75,367,64,82,72,336,220
"B. Mechele",25,76,79,3,"Defender",8e+06,20000,2,76,54,61,307,66,75,77,251,242
"Jemerson",25,76,78,1,"Defender",8e+06,50000,2,78,60,61,327,83,67,78,276,227
"D. Yedlin B",24,76,79,2,"Defender",8e+06,30000,3,65,53,73,422,86,86,66,320,219
"J. Maidana",32,76,76,4,"Defender",4400000,20000,2,76,75,63,274,80,58,88,307,224
"Davi Parrela",30,76,76,2,"Defender",5500000,15000,2,75,62,54,280,57,52,89,287,229
"C. Luyindama",24,76,79,NA,"Defender",8e+06,40000,2,81,67,58,311,68,73,92,254,219
"Alberto Moreno",25,76,77,0,"Defender",7500000,70000,3,61,64,79,415,86,78,61,334,216
"Felipe",33,75,75,1,"Defender",2700000,15000,2,74,64,60,263,69,48,67,261,233
"M. Holgate",21,75,81,NA,"Defender",7500000,20000,3,73,70,68,332,69,71,72,297,230
"K. Gibbs B",28,75,75,2,"Defender",5500000,30000,3,66,65,74,381,71,78,67,342,222
"Unai Núñez",21,75,83,4,"Defender",8500000,15000,2,76,33,71,303,72,67,78,237,218
"David Juncà B",24,75,80,4,"Defender",7500000,15000,3,70,61,74,379,75,86,76,307,213
"D. Siovas",29,75,75,2,"Defender",5e+06,30000,2,68,70,69,232,83,79,87,286,217
"S. van Beek",23,75,78,2,"Defender",7e+06,10000,2,76,74,59,301,70,68,77,264,230
"D. Tarasov",31,75,75,0,"Defender",4500000,1000,3,74,70,73,292,75,70,86,341,223
"Palhinha",22,75,81,NA,"Defender",8e+06,10000,2,69,73,75,272,80,55,86,327,221
"L. Cooper",26,75,76,2,"Defender",6500000,40000,2,74,63,62,296,82,72,79,275,221
"L. Koné",29,75,75,NA,"Defender",5e+06,20000,2,77,47,62,286,65,68,89,271,218
"L. Balogun",30,75,75,1,"Defender",4900000,40000,2,77,60,64,299,73,58,82,280,222
"T. Kádár",28,75,76,4,"Defender",6e+06,2000,2,73,71,68,328,71,87,79,292,225
"Danilo",22,75,80,2,"Defender",9e+06,20000,3,80,71,75,347,86,79,73,341,218
"F. Hanin",28,75,75,3,"Defender",5500000,10000,3,49,65,73,396,60,91,64,286,217
"M. Kempf",23,75,81,3,"Defender",8e+06,20000,2,77,67,61,325,91,63,80,292,221
"R. Khedira",24,75,78,2,"Defender",7e+06,20000,2,67,68,68,297,66,79,79,306,224
"Reguilón",21,75,86,1,"Defender",1e+07,70000,2,66,65,72,389,68,79,64,317,216
"Javi López B",32,75,75,1,"Defender",3700000,20000,3,60,64,74,357,73,75,67,341,220
"J. Bruma",26,75,78,NA,"Defender",7e+06,30000,2,78,72,60,281,71,63,90,294,219
"A. Franco",21,75,85,3,"Defender",9500000,15000,2,78,31,68,318,75,79,77,263,226
"M. Zeegelaar B",27,75,75,NA,"Defender",5500000,20000,3,60,59,76,337,65,78,79,339,222
"G. Ferrari",26,75,78,2,"Defender",7e+06,40000,2,70,64,60,281,77,57,78,221,229
"I. Traoré",31,75,75,1,"Defender",4500000,20000,2,79,65,63,298,75,72,86,274,222
"E. Cabaco",23,75,81,3,"Defender",8e+06,15000,2,74,62,61,327,83,72,78,257,228
"Silas Almeim",26,75,75,2,"Defender",5500000,15000,3,66,72,67,387,63,73,63,337,223
"D. Bronn",23,75,82,2,"Defender",8e+06,15000,3,74,72,67,334,71,73,79,324,226
"E. DurmB B",26,75,76,0,"Defender",6500000,40000,3,62,58,71,364,74,79,66,325,222
"M. Flamini",34,75,75,0,"Defender",2e+06,20000,2,69,73,68,306,70,64,68,357,229
"N. Sánchez",32,75,75,2,"Defender",3800000,40000,2,78,64,62,277,88,79,85,308,221
"V. Cáceres",33,75,75,NA,"Defender",0,0,3,74,66,71,318,71,75,79,368,220
"Lucas Lima",26,75,75,3,"Defender",5500000,20000,3,41,69,73,360,76,86,64,329,225
"J. Babin",31,75,75,3,"Defender",4500000,10000,2,79,59,52,225,76,80,88,292,225
"Jordi Amat",26,75,77,3,"Defender",6500000,15000,2,72,52,65,315,78,66,79,270,223
"S. Rajković",29,75,75,1,"Defender",5e+06,5000,2,75,59,59,259,55,68,92,274,227
"Ferro",21,75,84,4,"Defender",9e+06,8000,2,75,66,68,283,66,76,79,285,220
"L. Vangioni",31,75,75,1,"Defender",4400000,40000,3,60,69,73,379,73,79,69,361,218
"E. Badu",27,75,75,1,"Defender",7e+06,20000,3,70,69,75,405,90,88,66,348,215
"P. Dummett",26,75,76,3,"Defender",6500000,40000,3,74,68,69,343,77,79,75,305,237
"K. Amian  B",20,75,83,2,"Defender",8500000,15000,3,67,60,69,372,74,78,75,310,231
"E. Álvarez",20,75,83,0,"Defender",8500000,30000,2,77,74,71,353,73,73,72,338,226
"A. Wakaso",26,75,77,1,"Defender",6500000,10000,2,68,69,66,334,91,85,76,310,230
"André Pinto",28,75,75,2,"Defender",5500000,10000,2,78,58,57,228,30,62,88,260,232
"L. Rossettini",33,75,75,NA,"Defender",2700000,15000,2,74,58,54,292,76,59,80,257,227
"S. Kryvtsov",27,75,77,2,"Defender",6500000,1000,2,77,64,53,307,64,77,83,274,225
"J. Koundé",19,75,87,4,"Defender",1e+07,15000,2,77,59,66,355,81,68,69,246,232
"C. Borja",25,75,78,5,"Defender",7e+06,10000,3,59,65,71,391,71,82,65,302,219
"D. Congré",33,75,75,1,"Defender",2700000,20000,2,72,68,70,294,73,65,80,275,231
"Caio Nunson",30,75,75,2,"Defender",4900000,15000,2,77,57,59,280,68,54,84,285,221
"J. Morel",34,75,75,0,"Defender",2e+06,50000,2,74,65,63,357,85,79,77,312,224
"Otávio Cairinho",26,75,75,2,"Defender",6e+06,20000,2,72,61,56,301,82,61,76,300,228
"André Ramalho",26,75,77,3,"Defender",6500000,30000,2,80,75,68,309,87,73,77,307,216
"G. SchennikovB",27,75,75,4,"Defender",5500000,1000,3,66,64,72,381,72,84,63,335,221
"M. Morozyuk",30,75,75,2,"Defender",4800000,15000,3,37,68,69,394,63,82,37,282,220
"B. Butko",27,75,75,2,"Defender",5500000,1000,3,56,63,70,376,76,77,63,303,227
"M. Gonalons",29,75,75,NA,"Defender",5e+06,15000,3,74,74,74,322,78,62,78,353,224
"R. Karsdorp",23,75,80,3,"Defender",7500000,40000,3,69,73,76,376,74,70,69,329,221
"I. Opara",29,75,75,2,"Defender",5e+06,9000,2,75,62,54,375,90,74,85,299,213
"A. Conti",24,75,78,3,"Defender",8500000,60000,3,64,69,76,378,53,87,54,330,224
"Bustinza",26,75,78,2,"Defender",7e+06,20000,2,76,53,71,337,75,77,70,284,221
"Bernardo",23,75,80,3,"Defender",7500000,30000,3,64,58,70,361,78,76,69,301,236
"O. Elabdellaoui",26,75,76,2,"Defender",6500000,2000,3,60,68,75,404,60,85,68,327,213
"S. Ilsanker",29,75,75,1,"Defender",5e+06,40000,2,72,64,58,265,60,78,84,310,230
"K. Djidji",25,75,77,NA,"Defender",7e+06,30000,3,70,68,68,335,76,68,76,265,230
"Postigo",29,75,75,2,"Defender",5e+06,20000,2,70,67,65,306,79,67,83,272,227
"P. Baysse",30,75,75,NA,"Defender",4900000,20000,2,81,66,61,311,74,75,81,310,216
"M. Caruzzo",33,75,75,1,"Defender",2700000,15000,2,77,60,65,282,76,81,80,318,218
"G. Konan",22,75,81,3,"Defender",7500000,15000,3,60,64,76,390,69,90,66,321,211
"S. Dewaest",27,75,77,4,"Defender",6500000,15000,2,79,46,48,248,51,65,89,270,224
"H. Ayala",31,75,75,4,"Defender",4500000,40000,2,71,62,64,305,67,74,75,292,232
"B. Valdez",25,75,77,1,"Defender",7e+06,50000,2,80,52,62,293,88,81,76,287,225
"T. Foket",23,75,80,4,"Defender",7500000,15000,3,56,69,72,376,82,83,68,326,223
"J. Mikel",31,75,75,0,"Defender",4500000,40000,3,73,70,71,275,75,72,80,292,226
"Manuel da Costa",32,75,75,2,"Defender",3800000,30000,2,76,65,56,266,81,64,83,267,220
"R. Thomas",30,75,75,3,"Defender",4900000,20000,2,75,68,67,277,67,55,82,267,227
"Chema Rodríguez",26,75,78,1,"Defender",7e+06,20000,2,70,67,67,337,78,70,76,290,224
"P. Pekarík",31,75,75,1,"Defender",4400000,20000,2,44,64,76,370,63,68,65,292,238
"Ximo Navarro",28,75,75,2,"Defender",5500000,20000,2,71,63,72,361,84,88,70,323,221
"S. Mitrović",28,75,76,3,"Defender",6e+06,20000,2,78,57,62,256,63,67,81,261,231
"S. Deli",26,75,78,1,"Defender",7e+06,1000,2,78,65,68,356,77,69,84,270,225
"H. Traoré",26,75,76,2,"Defender",6500000,30000,3,69,70,76,395,90,76,62,324,216
"K. Akpoguma",23,75,81,NA,"Defender",8e+06,20000,2,70,60,63,325,55,67,78,274,231
"H. Behrens",28,75,75,2,"Defender",6500000,20000,3,81,68,73,340,84,92,79,354,222
"V. Ignatiev",31,75,75,1,"Defender",4400000,1000,3,69,68,75,371,63,72,65,356,219
"K. Théophile-Catherine",28,75,76,1,"Defender",6e+06,1000,3,72,69,68,347,81,71,78,303,220
"Marlon",22,75,82,1,"Defender",8e+06,30000,3,71,69,72,318,64,66,78,293,223
"W. McKennie",19,75,85,5,"Defender",10500000,15000,3,77,67,75,344,90,83,83,362,221
"M. Isla",30,75,75,1,"Defender",4800000,50000,3,58,72,73,391,66,79,68,355,222
"J. BrenetB   B",24,75,77,3,"Defender",6500000,20000,3,66,61,69,386,59,79,66,311,217
"J. Bednarek",22,75,83,3,"Defender",8500000,30000,2,75,47,57,315,75,70,77,258,226
"Ruben Lima",28,75,75,0,"Defender",5500000,7000,3,63,65,70,370,78,91,67,314,221
"Y. Abdelhamid",30,75,75,1,"Defender",4900000,15000,2,72,70,65,244,77,74,82,269,226
"Pablo MaffeoB",20,75,83,4,"Defender",8500000,20000,3,68,63,78,402,61,66,65,299,228
"M. Yoshida",29,75,75,1,"Defender",5e+06,40000,2,74,52,66,316,84,70,76,285,228
"Calero",22,75,85,2,"Defender",9500000,15000,3,74,74,75,363,82,77,72,277,224
"A. Briançon",23,75,79,3,"Defender",7500000,15000,2,74,69,66,310,71,76,81,306,221
"Martín",22,75,80,3,"Defender",7500000,15000,3,70,45,75,353,58,77,60,279,227
"Tiago Pinto",30,75,75,2,"Defender",4800000,20000,3,64,72,76,399,75,82,64,322,214
"C. Chambers",23,75,80,NA,"Defender",7500000,40000,2,68,70,74,324,71,72,75,321,223
"G. Shoji",25,75,80,3,"Defender",7500000,20000,2,70,70,57,357,78,82,77,240,225
"I. Sangaré",20,75,85,3,"Defender",9500000,15000,3,74,73,74,345,74,78,83,349,221
"M. Mevlja",28,75,76,NA,"Defender",0,0,2,73,72,58,328,63,71,81,277,233
